participant	list	presentationorder	verb	frame	response	nativeenglish	sentence
31	0	53	hate	It Ved NP WH S	2	True	It hated someone where something happened.
31	0	54	deny	It Ved NP WH S	3	True	It denied someone how something happened.
31	0	55	allow	NP Ved for NP to VP	7	True	Someone allowed for someone to do something.
31	0	56	promise	NP Ved it that S	2	True	Someone promised it that something happened.
31	0	57	remember	NP Ved NP S notense	1	True	Someone remembered someone something happen.
31	0	58	imagine	NP Ved WH S	7	True	Someone imagined where something happened.
31	0	59	tell	NP Ved WH to VP	3	True	Someone told how to do something.
31	0	60	tell	NP Ved if S notense	6	True	Someone told if something happen.
80	0	1	want	NP Ved S	1	True	Someone wanted something happened.
80	0	2	doubt	NP Ved VPing	7	True	Someone doubted doing something.
80	0	3	think	NP Ved NP S	1	True	Someone thought someone something happened.
80	0	4	hear	It Ved NP to VP	2	True	It heard someone to do something.
80	0	5	want	NP Ved NP about NP	7	True	Someone wanted someone about something.
80	0	6	guess	NP Ved WH to VP	6	True	Someone guessed why to do something.
80	0	7	expect	S, I V	7	True	Something happened, I expect.
80	0	8	forbid	NP Ved for NP to VP	6	True	Someone forbade for someone to do something.
80	0	9	guess	S, NP Ved	4	True	Something happened, someone guessed.
80	0	10	believe	NP Ved there to VP	7	True	Someone believed there to be a particular thing in a particular place.
80	0	11	doubt	NP Ved NP that S	7	True	Someone doubted someone that something happened.
80	0	12	hear	It Ved NP that S notense	2	True	It heard someone that something happen.
80	0	13	understand	It Ved NP WH S	4	True	It understood someone why something happened.
80	0	14	believe	NP Ved to NP that S	2	True	Someone believed to someone that something happened.
80	0	15	realize	NP Ved NP S	1	True	Someone realized someone something happened.
80	0	16	imagine	NP was Ved that S notense	1	True	Someone was imagined that something happen.
80	0	17	hate	It Ved NP WH to VP	1	True	It hated someone where to do something.
80	0	18	amaze	NP Ved WH to VP	1	True	Someone amazed how to do something.
80	0	19	say	It Ved NP that S	2	True	It said someone that something happened.
80	0	20	say	It Ved NP WH S	2	True	It said someone how something happened.
80	0	21	realize	NP Ved NP that S notense	1	True	Someone realized someone that something happen.
80	0	22	deny	It Ved NP that S	2	True	It denied someone that something happened.
80	0	23	forbid	NP Ved about NP	5	True	Someone forbade about something.
80	0	24	pretend	NP Ved NP about NP	2	True	Someone pretended someone about something.
80	0	25	love	NP was Ved that S	1	True	Someone was loved that something happened.
80	0	26	feel	NP Ved it that S notense	2	True	Someone felt it that something happen.
80	0	27	remember	NP Ved NP	7	True	Someone remembered something.
80	0	28	feel	NP Ved that S notense	1	True	Someone felt that something happen.
80	0	29	forget	NP Ved WH S	7	True	Someone forgot how something happened.
80	0	30	forget	NP Ved if S	7	True	Someone forgot if something happened.
80	0	31	see	It Ved NP WH to VP	1	True	It saw someone where to do something.
80	0	32	hope	It Ved NP WH to VP	1	True	It hoped someone how to do something.
80	0	33	demand	NP Ved NP to VP	7	True	Someone demanded someone to do something.
80	0	34	expect	NP Ved WH S	3	True	Someone expected why something happened.
80	0	35	love	NP Ved to VP	7	True	Someone loved to do something.
80	0	36	worry	NP Ved so	7	True	Someone worried so.
80	0	37	promise	NP Ved that S	7	True	Someone promised that something happened.
80	0	38	hope	NP was Ved to VP	1	True	Someone was hoped to do something.
80	0	39	amaze	NP Ved if S notense	5	True	Someone amazed if something happen.
80	0	40	suppose	NP Ved WH to VP	1	True	Someone supposed where to do something.
80	0	41	suppose	NP Ved to NP that S notense	1	True	Someone supposed to someone that something happen.
80	0	42	bother	NP Ved	7	True	Someone bothered.
80	0	43	see	It Ved NP WH S	5	True	It saw someone where something happened.
80	0	44	need	NP Ved NP NP	1	True	Someone needed someone something.
80	0	45	think	NP Ved NP that S notense	1	True	Someone thought someone that something happen.
80	0	46	worry	NP Ved to	1	True	Someone worried to.
80	0	47	need	NP Ved	7	True	Someone needed.
80	0	48	understand	It Ved NP WH to VP	1	True	It understood someone why to do something.
80	0	49	allow	NP Ved about NP	1	True	Someone allowed about something.
80	0	50	pretend	NP Ved S	7	True	Someone pretended something happened.
80	0	51	demand	NP Ved NP VP	7	True	Someone demanded someone do something.
80	0	52	bother	NP Ved NP NP	1	True	Someone bothered someone something.
80	0	53	hate	It Ved NP WH S	6	True	It hated someone where something happened.
80	0	54	deny	It Ved NP WH S	3	True	It denied someone how something happened.
80	0	55	allow	NP Ved for NP to VP	6	True	Someone allowed for someone to do something.
80	0	56	promise	NP Ved it that S	6	True	Someone promised it that something happened.
80	0	57	remember	NP Ved NP S notense	1	True	Someone remembered someone something happen.
80	0	58	imagine	NP Ved WH S	6	True	Someone imagined where something happened.
80	0	59	tell	NP Ved WH to VP	4	True	Someone told how to do something.
80	0	60	tell	NP Ved if S notense	1	True	Someone told if something happen.
104	0	1	want	NP Ved S	1	True	Someone wanted something happened.
104	0	2	doubt	NP Ved VPing	6	True	Someone doubted doing something.
104	0	3	think	NP Ved NP S	1	True	Someone thought someone something happened.
104	0	4	hear	It Ved NP to VP	7	True	It heard someone to do something.
104	0	5	want	NP Ved NP about NP	2	True	Someone wanted someone about something.
104	0	6	guess	NP Ved WH to VP	3	True	Someone guessed why to do something.
104	0	7	expect	S, I V	7	True	Something happened, I expect.
104	0	8	forbid	NP Ved for NP to VP	6	True	Someone forbade for someone to do something.
104	0	9	guess	S, NP Ved	7	True	Something happened, someone guessed.
104	0	10	believe	NP Ved there to VP	7	True	Someone believed there to be a particular thing in a particular place.
104	0	11	doubt	NP Ved NP that S	4	True	Someone doubted someone that something happened.
104	0	12	hear	It Ved NP that S notense	1	True	It heard someone that something happen.
104	0	13	understand	It Ved NP WH S	1	True	It understood someone why something happened.
104	0	14	believe	NP Ved to NP that S	1	True	Someone believed to someone that something happened.
104	0	15	realize	NP Ved NP S	1	True	Someone realized someone something happened.
104	0	16	imagine	NP was Ved that S notense	1	True	Someone was imagined that something happen.
104	0	17	hate	It Ved NP WH to VP	1	True	It hated someone where to do something.
104	0	18	amaze	NP Ved WH to VP	1	True	Someone amazed how to do something.
104	0	19	say	It Ved NP that S	1	True	It said someone that something happened.
104	0	20	say	It Ved NP WH S	1	True	It said someone how something happened.
104	0	21	realize	NP Ved NP that S notense	1	True	Someone realized someone that something happen.
104	0	22	deny	It Ved NP that S	1	True	It denied someone that something happened.
104	0	23	forbid	NP Ved about NP	1	True	Someone forbade about something.
104	0	24	pretend	NP Ved NP about NP	1	True	Someone pretended someone about something.
104	0	25	love	NP was Ved that S	1	True	Someone was loved that something happened.
104	0	26	feel	NP Ved it that S notense	1	True	Someone felt it that something happen.
104	0	27	remember	NP Ved NP	7	True	Someone remembered something.
104	0	28	feel	NP Ved that S notense	1	True	Someone felt that something happen.
104	0	29	forget	NP Ved WH S	7	True	Someone forgot how something happened.
104	0	30	forget	NP Ved if S	7	True	Someone forgot if something happened.
104	0	31	see	It Ved NP WH to VP	1	True	It saw someone where to do something.
104	0	32	hope	It Ved NP WH to VP	1	True	It hoped someone how to do something.
104	0	33	demand	NP Ved NP to VP	5	True	Someone demanded someone to do something.
104	0	34	expect	NP Ved WH S	3	True	Someone expected why something happened.
104	0	35	love	NP Ved to VP	7	True	Someone loved to do something.
104	0	36	worry	NP Ved so	6	True	Someone worried so.
104	0	37	promise	NP Ved that S	7	True	Someone promised that something happened.
104	0	38	hope	NP was Ved to VP	1	True	Someone was hoped to do something.
104	0	39	amaze	NP Ved if S notense	1	True	Someone amazed if something happen.
104	0	40	suppose	NP Ved WH to VP	3	True	Someone supposed where to do something.
104	0	41	suppose	NP Ved to NP that S notense	1	True	Someone supposed to someone that something happen.
104	0	42	bother	NP Ved	5	True	Someone bothered.
104	0	43	see	It Ved NP WH S	7	True	It saw someone where something happened.
104	0	44	need	NP Ved NP NP	1	True	Someone needed someone something.
104	0	45	think	NP Ved NP that S notense	1	True	Someone thought someone that something happen.
104	0	46	worry	NP Ved to	1	True	Someone worried to.
104	0	47	need	NP Ved	2	True	Someone needed.
104	0	48	understand	It Ved NP WH to VP	1	True	It understood someone why to do something.
104	0	49	allow	NP Ved about NP	1	True	Someone allowed about something.
104	0	50	pretend	NP Ved S	7	True	Someone pretended something happened.
104	0	51	demand	NP Ved NP VP	7	True	Someone demanded someone do something.
104	0	52	bother	NP Ved NP NP	1	True	Someone bothered someone something.
104	0	53	hate	It Ved NP WH S	6	True	It hated someone where something happened.
104	0	54	deny	It Ved NP WH S	1	True	It denied someone how something happened.
104	0	55	allow	NP Ved for NP to VP	7	True	Someone allowed for someone to do something.
104	0	56	promise	NP Ved it that S	7	True	Someone promised it that something happened.
104	0	57	remember	NP Ved NP S notense	1	True	Someone remembered someone something happen.
104	0	58	imagine	NP Ved WH S	7	True	Someone imagined where something happened.
104	0	59	tell	NP Ved WH to VP	3	True	Someone told how to do something.
104	0	60	tell	NP Ved if S notense	1	True	Someone told if something happen.
77	0	1	want	NP Ved S	2	True	Someone wanted something happened.
77	0	2	doubt	NP Ved VPing	6	True	Someone doubted doing something.
77	0	3	think	NP Ved NP S	2	True	Someone thought someone something happened.
77	0	4	hear	It Ved NP to VP	1	True	It heard someone to do something.
77	0	5	want	NP Ved NP about NP	2	True	Someone wanted someone about something.
77	0	6	guess	NP Ved WH to VP	2	True	Someone guessed why to do something.
77	0	7	expect	S, I V	3	True	Something happened, I expect.
77	0	8	forbid	NP Ved for NP to VP	3	True	Someone forbade for someone to do something.
77	0	9	guess	S, NP Ved	6	True	Something happened, someone guessed.
77	0	10	believe	NP Ved there to VP	4	True	Someone believed there to be a particular thing in a particular place.
77	0	11	doubt	NP Ved NP that S	2	True	Someone doubted someone that something happened.
77	0	12	hear	It Ved NP that S notense	2	True	It heard someone that something happen.
77	0	13	understand	It Ved NP WH S	1	True	It understood someone why something happened.
77	0	14	believe	NP Ved to NP that S	3	True	Someone believed to someone that something happened.
77	0	15	realize	NP Ved NP S	3	True	Someone realized someone something happened.
77	0	16	imagine	NP was Ved that S notense	3	True	Someone was imagined that something happen.
77	0	17	hate	It Ved NP WH to VP	1	True	It hated someone where to do something.
77	0	18	amaze	NP Ved WH to VP	2	True	Someone amazed how to do something.
77	0	19	say	It Ved NP that S	2	True	It said someone that something happened.
77	0	20	say	It Ved NP WH S	2	True	It said someone how something happened.
77	0	21	realize	NP Ved NP that S notense	2	True	Someone realized someone that something happen.
77	0	22	deny	It Ved NP that S	2	True	It denied someone that something happened.
77	0	23	forbid	NP Ved about NP	5	True	Someone forbade about something.
77	0	24	pretend	NP Ved NP about NP	2	True	Someone pretended someone about something.
77	0	25	love	NP was Ved that S	1	True	Someone was loved that something happened.
77	0	26	feel	NP Ved it that S notense	2	True	Someone felt it that something happen.
77	0	27	remember	NP Ved NP	7	True	Someone remembered something.
77	0	28	feel	NP Ved that S notense	6	True	Someone felt that something happen.
77	0	29	forget	NP Ved WH S	6	True	Someone forgot how something happened.
77	0	30	forget	NP Ved if S	6	True	Someone forgot if something happened.
77	0	31	see	It Ved NP WH to VP	1	True	It saw someone where to do something.
77	0	32	hope	It Ved NP WH to VP	2	True	It hoped someone how to do something.
77	0	33	demand	NP Ved NP to VP	4	True	Someone demanded someone to do something.
77	0	34	expect	NP Ved WH S	2	True	Someone expected why something happened.
77	0	35	love	NP Ved to VP	6	True	Someone loved to do something.
77	0	36	worry	NP Ved so	5	True	Someone worried so.
77	0	37	promise	NP Ved that S	5	True	Someone promised that something happened.
77	0	38	hope	NP was Ved to VP	2	True	Someone was hoped to do something.
77	0	39	amaze	NP Ved if S notense	2	True	Someone amazed if something happen.
77	0	40	suppose	NP Ved WH to VP	2	True	Someone supposed where to do something.
77	0	41	suppose	NP Ved to NP that S notense	2	True	Someone supposed to someone that something happen.
77	0	42	bother	NP Ved	5	True	Someone bothered.
77	0	43	see	It Ved NP WH S	2	True	It saw someone where something happened.
77	0	44	need	NP Ved NP NP	2	True	Someone needed someone something.
77	0	45	think	NP Ved NP that S notense	2	True	Someone thought someone that something happen.
77	0	46	worry	NP Ved to	3	True	Someone worried to.
77	0	47	need	NP Ved	3	True	Someone needed.
77	0	48	understand	It Ved NP WH to VP	1	True	It understood someone why to do something.
77	0	49	allow	NP Ved about NP	2	True	Someone allowed about something.
77	0	50	pretend	NP Ved S	6	True	Someone pretended something happened.
77	0	51	demand	NP Ved NP VP	5	True	Someone demanded someone do something.
77	0	52	bother	NP Ved NP NP	2	True	Someone bothered someone something.
77	0	53	hate	It Ved NP WH S	1	True	It hated someone where something happened.
77	0	54	deny	It Ved NP WH S	2	True	It denied someone how something happened.
77	0	55	allow	NP Ved for NP to VP	3	True	Someone allowed for someone to do something.
77	0	56	promise	NP Ved it that S	3	True	Someone promised it that something happened.
77	0	57	remember	NP Ved NP S notense	2	True	Someone remembered someone something happen.
77	0	58	imagine	NP Ved WH S	6	True	Someone imagined where something happened.
77	0	59	tell	NP Ved WH to VP	5	True	Someone told how to do something.
77	0	60	tell	NP Ved if S notense	6	True	Someone told if something happen.
90	0	1	want	NP Ved S	7	True	Someone wanted something happened.
90	0	2	doubt	NP Ved VPing	7	True	Someone doubted doing something.
90	0	3	think	NP Ved NP S	1	True	Someone thought someone something happened.
90	0	4	hear	It Ved NP to VP	1	True	It heard someone to do something.
90	0	5	want	NP Ved NP about NP	5	True	Someone wanted someone about something.
90	0	6	guess	NP Ved WH to VP	2	True	Someone guessed why to do something.
90	0	7	expect	S, I V	7	True	Something happened, I expect.
90	0	8	forbid	NP Ved for NP to VP	1	True	Someone forbade for someone to do something.
90	0	9	guess	S, NP Ved	7	True	Something happened, someone guessed.
90	0	10	believe	NP Ved there to VP	7	True	Someone believed there to be a particular thing in a particular place.
90	0	11	doubt	NP Ved NP that S	6	True	Someone doubted someone that something happened.
90	0	12	hear	It Ved NP that S notense	2	True	It heard someone that something happen.
90	0	13	understand	It Ved NP WH S	2	True	It understood someone why something happened.
90	0	14	believe	NP Ved to NP that S	4	True	Someone believed to someone that something happened.
90	0	15	realize	NP Ved NP S	5	True	Someone realized someone something happened.
90	0	16	imagine	NP was Ved that S notense	4	True	Someone was imagined that something happen.
90	0	17	hate	It Ved NP WH to VP	2	True	It hated someone where to do something.
90	0	18	amaze	NP Ved WH to VP	3	True	Someone amazed how to do something.
90	0	19	say	It Ved NP that S	2	True	It said someone that something happened.
90	0	20	say	It Ved NP WH S	2	True	It said someone how something happened.
90	0	21	realize	NP Ved NP that S notense	2	True	Someone realized someone that something happen.
90	0	22	deny	It Ved NP that S	2	True	It denied someone that something happened.
90	0	23	forbid	NP Ved about NP	2	True	Someone forbade about something.
90	0	24	pretend	NP Ved NP about NP	2	True	Someone pretended someone about something.
90	0	25	love	NP was Ved that S	2	True	Someone was loved that something happened.
90	0	26	feel	NP Ved it that S notense	2	True	Someone felt it that something happen.
90	0	27	remember	NP Ved NP	7	True	Someone remembered something.
90	0	28	feel	NP Ved that S notense	7	True	Someone felt that something happen.
90	0	29	forget	NP Ved WH S	4	True	Someone forgot how something happened.
90	0	30	forget	NP Ved if S	4	True	Someone forgot if something happened.
90	0	31	see	It Ved NP WH to VP	5	True	It saw someone where to do something.
90	0	32	hope	It Ved NP WH to VP	5	True	It hoped someone how to do something.
90	0	33	demand	NP Ved NP to VP	3	True	Someone demanded someone to do something.
90	0	34	expect	NP Ved WH S	4	True	Someone expected why something happened.
90	0	35	love	NP Ved to VP	7	True	Someone loved to do something.
90	0	36	worry	NP Ved so	6	True	Someone worried so.
90	0	37	promise	NP Ved that S	7	True	Someone promised that something happened.
90	0	38	hope	NP was Ved to VP	2	True	Someone was hoped to do something.
90	0	39	amaze	NP Ved if S notense	2	True	Someone amazed if something happen.
90	0	40	suppose	NP Ved WH to VP	2	True	Someone supposed where to do something.
90	0	41	suppose	NP Ved to NP that S notense	7	True	Someone supposed to someone that something happen.
90	0	42	bother	NP Ved	4	True	Someone bothered.
90	0	43	see	It Ved NP WH S	7	True	It saw someone where something happened.
90	0	44	need	NP Ved NP NP	2	True	Someone needed someone something.
90	0	45	think	NP Ved NP that S notense	2	True	Someone thought someone that something happen.
90	0	46	worry	NP Ved to	6	True	Someone worried to.
90	0	47	need	NP Ved	5	True	Someone needed.
90	0	48	understand	It Ved NP WH to VP	2	True	It understood someone why to do something.
90	0	49	allow	NP Ved about NP	3	True	Someone allowed about something.
90	0	50	pretend	NP Ved S	7	True	Someone pretended something happened.
90	0	51	demand	NP Ved NP VP	7	True	Someone demanded someone do something.
90	0	52	bother	NP Ved NP NP	3	True	Someone bothered someone something.
90	0	53	hate	It Ved NP WH S	3	True	It hated someone where something happened.
90	0	54	deny	It Ved NP WH S	4	True	It denied someone how something happened.
90	0	55	allow	NP Ved for NP to VP	3	True	Someone allowed for someone to do something.
90	0	56	promise	NP Ved it that S	2	True	Someone promised it that something happened.
90	0	57	remember	NP Ved NP S notense	5	True	Someone remembered someone something happen.
90	0	58	imagine	NP Ved WH S	7	True	Someone imagined where something happened.
90	0	59	tell	NP Ved WH to VP	7	True	Someone told how to do something.
90	0	60	tell	NP Ved if S notense	2	True	Someone told if something happen.
87	1	1	need	NP Ved NP	7	True	Someone needed something.
87	1	2	remember	NP Ved NP that S notense	1	True	Someone remembered someone that something happen.
87	1	3	think	NP Ved NP VP	2	True	Someone thought someone do something.
87	1	4	expect	S, NP Ved	4	True	Something happened, someone expected.
87	1	5	allow	NP Ved if S	4	True	Someone allowed if something happened.
87	1	6	understand	NP Ved NP NP	3	True	Someone understood someone something.
87	1	7	imagine	S, I V	7	True	Something happened, I imagine.
87	1	8	suppose	NP Ved to VP	5	True	Someone supposed to do something.
87	1	9	bother	NP Ved NP S notense	3	True	Someone bothered someone something happen.
87	1	10	amaze	NP Ved that S	6	True	Someone amazed that something happened.
87	1	11	deny	It Ved NP to VP	6	True	It denied someone to do something.
87	1	12	forbid	NP Ved if S	5	True	Someone forbade if something happened.
87	1	13	worry	NP Ved there to VP	2	True	Someone worried there to be a particular thing in a particular place.
87	1	14	guess	It Ved NP WH to VP	1	True	It guessed someone how to do something.
87	1	15	hear	It Ved NP WH S	4	True	It heard someone where something happened.
87	1	16	tell	NP Ved it that S	6	True	Someone told it that something happened.
87	1	17	bother	NP Ved NP	7	True	Someone bothered something.
87	1	18	guess	NP was Ved to VP	5	True	Someone was guessed to do something.
87	1	19	forbid	NP Ved WH S	6	True	Someone forbade how something happened.
87	1	20	want	NP Ved NP that S	2	True	Someone wanted someone that something happened.
87	1	21	hear	It Ved NP WH to VP	1	True	It heard someone where to do something.
87	1	22	pretend	NP Ved VPing	7	True	Someone pretended doing something.
87	1	23	feel	NP Ved so	6	True	Someone felt so.
87	1	24	hope	It Ved NP WH S	1	True	It hoped someone how something happened.
87	1	25	say	It Ved NP to VP	4	True	It said someone to do something.
87	1	26	suppose	NP was Ved that S	2	True	Someone was supposed that something happened.
87	1	27	hate	It Ved NP WH S	2	True	It hated someone why something happened.
87	1	28	believe	NP Ved to NP that S notense	3	True	Someone believed to someone that something happen.
87	1	29	see	It Ved NP WH S	2	True	It saw someone why something happened.
87	1	30	need	NP Ved NP S notense	3	True	Someone needed someone something happen.
87	1	31	realize	NP Ved NP VP	4	True	Someone realized someone do something.
87	1	32	allow	NP Ved WH S	5	True	Someone allowed how something happened.
87	1	33	hope	It Ved NP that S	2	True	It hoped someone that something happened.
87	1	34	understand	NP Ved	7	True	Someone understood.
87	1	35	worry	NP Ved to NP that S	6	True	Someone worried to someone that something happened.
87	1	36	demand	NP Ved S	6	True	Someone demanded something happened.
87	1	37	tell	NP Ved that S	6	True	Someone told that something happened.
87	1	38	believe	NP Ved WH to VP	6	True	Someone believed where to do something.
87	1	39	want	NP Ved VPing	2	True	Someone wanted doing something.
87	1	40	forget	NP Ved WH to VP	7	True	Someone forgot how to do something.
87	1	41	pretend	NP Ved NP that S	2	True	Someone pretended someone that something happened.
87	1	42	doubt	NP Ved about NP	7	True	Someone doubted about something.
87	1	43	hate	It Ved NP WH to VP	1	True	It hated someone why to do something.
87	1	44	see	It Ved NP WH to VP	1	True	It saw someone why to do something.
87	1	45	feel	NP Ved to	3	True	Someone felt to.
87	1	46	love	NP was Ved that S notense	1	True	Someone was loved that something happen.
87	1	47	doubt	NP Ved for NP to VP	6	True	Someone doubted for someone to do something.
87	1	48	promise	NP Ved that S notense	5	True	Someone promised that something happen.
87	1	49	promise	NP Ved it that S notense	5	True	Someone promised it that something happen.
87	1	50	remember	NP Ved NP S	3	True	Someone remembered someone something happened.
87	1	51	imagine	NP Ved WH S	7	True	Someone imagined why something happened.
87	1	52	forget	NP Ved if S notense	4	True	Someone forgot if something happen.
87	1	53	expect	NP Ved WH to VP	5	True	Someone expected why to do something.
87	1	54	amaze	NP Ved it that S	4	True	Someone amazed it that something happened.
87	1	55	deny	It Ved NP that S notense	4	True	It denied someone that something happen.
87	1	56	think	NP Ved NP to VP	3	True	Someone thought someone to do something.
87	1	57	love	NP Ved WH S	6	True	Someone loved where something happened.
87	1	58	realize	NP Ved NP to VP	4	True	Someone realized someone to do something.
87	1	59	say	It Ved NP that S notense	2	True	It said someone that something happen.
87	1	60	demand	NP Ved NP about NP	4	True	Someone demanded someone about something.
9	1	1	need	NP Ved NP	7	True	Someone needed something.
9	1	2	remember	NP Ved NP that S notense	1	True	Someone remembered someone that something happen.
9	1	3	think	NP Ved NP VP	1	True	Someone thought someone do something.
9	1	4	expect	S, NP Ved	3	True	Something happened, someone expected.
9	1	5	allow	NP Ved if S	1	True	Someone allowed if something happened.
9	1	6	understand	NP Ved NP NP	1	True	Someone understood someone something.
9	1	7	imagine	S, I V	4	True	Something happened, I imagine.
9	1	8	suppose	NP Ved to VP	2	True	Someone supposed to do something.
9	1	9	bother	NP Ved NP S notense	1	True	Someone bothered someone something happen.
9	1	10	amaze	NP Ved that S	2	True	Someone amazed that something happened.
9	1	11	deny	It Ved NP to VP	3	True	It denied someone to do something.
9	1	12	forbid	NP Ved if S	3	True	Someone forbade if something happened.
9	1	13	worry	NP Ved there to VP	4	True	Someone worried there to be a particular thing in a particular place.
9	1	14	guess	It Ved NP WH to VP	5	True	It guessed someone how to do something.
9	1	15	hear	It Ved NP WH S	1	True	It heard someone where something happened.
9	1	16	tell	NP Ved it that S	7	True	Someone told it that something happened.
9	1	17	bother	NP Ved NP	7	True	Someone bothered something.
9	1	18	guess	NP was Ved to VP	1	True	Someone was guessed to do something.
9	1	19	forbid	NP Ved WH S	2	True	Someone forbade how something happened.
9	1	20	want	NP Ved NP that S	1	True	Someone wanted someone that something happened.
9	1	21	hear	It Ved NP WH to VP	1	True	It heard someone where to do something.
9	1	22	pretend	NP Ved VPing	7	True	Someone pretended doing something.
9	1	23	feel	NP Ved so	5	True	Someone felt so.
9	1	24	hope	It Ved NP WH S	1	True	It hoped someone how something happened.
9	1	25	say	It Ved NP to VP	1	True	It said someone to do something.
9	1	26	suppose	NP was Ved that S	1	True	Someone was supposed that something happened.
9	1	27	hate	It Ved NP WH S	1	True	It hated someone why something happened.
9	1	28	believe	NP Ved to NP that S notense	1	True	Someone believed to someone that something happen.
9	1	29	see	It Ved NP WH S	1	True	It saw someone why something happened.
9	1	30	need	NP Ved NP S notense	1	True	Someone needed someone something happen.
9	1	31	realize	NP Ved NP VP	1	True	Someone realized someone do something.
9	1	32	allow	NP Ved WH S	6	True	Someone allowed how something happened.
9	1	33	hope	It Ved NP that S	1	True	It hoped someone that something happened.
9	1	34	understand	NP Ved	7	True	Someone understood.
9	1	35	worry	NP Ved to NP that S	6	True	Someone worried to someone that something happened.
9	1	36	demand	NP Ved S	5	True	Someone demanded something happened.
9	1	37	tell	NP Ved that S	4	True	Someone told that something happened.
9	1	38	believe	NP Ved WH to VP	3	True	Someone believed where to do something.
9	1	39	want	NP Ved VPing	2	True	Someone wanted doing something.
9	1	40	forget	NP Ved WH to VP	7	True	Someone forgot how to do something.
9	1	41	pretend	NP Ved NP that S	2	True	Someone pretended someone that something happened.
9	1	42	doubt	NP Ved about NP	6	True	Someone doubted about something.
9	1	43	hate	It Ved NP WH to VP	1	True	It hated someone why to do something.
9	1	44	see	It Ved NP WH to VP	1	True	It saw someone why to do something.
9	1	45	feel	NP Ved to	1	True	Someone felt to.
9	1	46	love	NP was Ved that S notense	2	True	Someone was loved that something happen.
9	1	47	doubt	NP Ved for NP to VP	1	True	Someone doubted for someone to do something.
