verb	frame	polarity	sentence	veridicalitylike	veridicalitynorm
disturb	NP was Ved that S	positive	Someone was disturbed that a particular thing happened	-0.021690954	3.011026
disturb	NP was Ved that S	negative	Someone wasn\'t disturbed that a particular thing happened	-0.08046678	3.011026
traumatize	NP was Ved that S	positive	Someone was traumatized that a particular thing happened	-0.08685355	2.9907937
traumatize	NP was Ved that S	negative	Someone wasn\'t traumatized that a particular thing happened	-0.02548257	2.9907937
startle	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t startled to have a particular thing.	-0.2948329	2.972671
startle	NP was Ved to VP[-eventive]	positive	A particular person was startled to have a particular thing.	-0.18629086	2.972671
amuse	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t amused to have a particular thing.	-0.19625632	2.959484
amuse	NP was Ved to VP[-eventive]	positive	A particular person was amused to have a particular thing.	-0.11584022	2.959484
upset	NP was Ved to VP[-eventive]	positive	A particular person was upset to have a particular thing.	-0.118764125	2.9203894
upset	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t upset to have a particular thing.	-0.23944633	2.9203894
astonish	NP was Ved to VP[-eventive]	positive	A particular person was astonished to have a particular thing.	-0.17720087	2.9124968
astonish	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t astonished to have a particular thing.	-0.3375888	2.9124968
mortify	NP was Ved that S	negative	Someone wasn\'t mortified that a particular thing happened	-0.071635544	2.869925
mortify	NP was Ved that S	positive	Someone was mortified that a particular thing happened	-0.058770817	2.869925
astonish	NP was Ved that S	negative	Someone wasn\'t astonished that a particular thing happened	-0.03671673	2.8456292
astonish	NP was Ved that S	positive	Someone was astonished that a particular thing happened	-0.057370715	2.8456292
excite	NP was Ved to VP[-eventive]	positive	A particular person was excited to have a particular thing.	-0.17696652	2.823282
excite	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t excited to have a particular thing.	-0.36760312	2.823282
embarrass	NP was Ved to VP[-eventive]	positive	A particular person was embarrassed to have a particular thing.	-0.12634233	2.8071337
embarrass	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t embarrassed to have a particular thing.	-0.22139816	2.8071337
relieve	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t relieved to have a particular thing.	-0.25733358	2.794082
relieve	NP was Ved to VP[-eventive]	positive	A particular person was relieved to have a particular thing.	-0.14644054	2.794082
shame	NP was Ved to VP[-eventive]	positive	A particular person was shamed to have a particular thing.	-0.22308435	2.7535744
shame	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t shamed to have a particular thing.	-0.26443902	2.7535744
disappoint	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t disappointed to do a particular thing.	-0.34381703	2.7295036
disappoint	NP was Ved to VP[+eventive]	positive	A particular person was disappointed to do a particular thing.	-0.16087885	2.7295036
astound	NP was Ved that S	positive	Someone was astounded that a particular thing happened	-0.0402572	2.7294972
astound	NP was Ved that S	negative	Someone wasn\'t astounded that a particular thing happened	-0.05199737	2.7294972
thrill	NP was Ved that S	positive	Someone was thrilled that a particular thing happened	-0.052061602	2.7281935
thrill	NP was Ved that S	negative	Someone wasn\'t thrilled that a particular thing happened	-0.041434355	2.7281935
disgruntle	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t disgruntled to have a particular thing.	-0.24498528	2.7196722
disgruntle	NP was Ved to VP[-eventive]	positive	A particular person was disgruntled to have a particular thing.	-0.29916605	2.7196722
floor	NP was Ved that S	positive	Someone was floored that a particular thing happened	-0.042066988	2.6836576
floor	NP was Ved that S	negative	Someone wasn\'t floored that a particular thing happened	-0.050461147	2.6836576
sicken	NP was Ved to VP[-eventive]	positive	A particular person was sickened to have a particular thing.	-0.31101844	2.6826153
sicken	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t sickened to have a particular thing.	-0.26068914	2.6826153
despise	NP Ved that S	negative	Someone didn\'t despise that a particular thing happened	-0.036734566	2.6756396
despise	NP Ved that S	positive	Someone despised that a particular thing happened	-0.069671474	2.6756396
irk	NP was Ved to VP[-eventive]	positive	A particular person was irked to have a particular thing.	-0.24083003	2.6748986
irk	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t irked to have a particular thing.	-0.19612023	2.6748986
enthuse	NP was Ved to VP[-eventive]	positive	A particular person was enthused to have a particular thing.	-0.23470348	2.6550746
enthuse	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t enthused to have a particular thing.	-0.24688832	2.6550746
disgrace	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t disgraced to have a particular thing.	-0.35251042	2.6371531
disgrace	NP was Ved to VP[-eventive]	positive	A particular person was disgraced to have a particular thing.	-0.14532878	2.6371531
please	NP was Ved that S	positive	Someone was pleased that a particular thing happened	-0.045289792	2.625894
please	NP was Ved that S	negative	Someone wasn\'t pleased that a particular thing happened	-0.045289792	2.625894
outrage	NP was Ved that S	positive	Someone was outraged that a particular thing happened	-0.04553328	2.6175134
outrage	NP was Ved that S	negative	Someone wasn\'t outraged that a particular thing happened	-0.048456248	2.6175134
please	NP was Ved to VP[+eventive]	positive	A particular person was pleased to do a particular thing.	-0.19082388	2.6125784
please	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t pleased to do a particular thing.	-0.21775787	2.6125784
irk	NP was Ved that S	positive	Someone was irked that a particular thing happened	-0.07370425	2.6110399
irk	NP was Ved that S	negative	Someone wasn\'t irked that a particular thing happened	-0.025794169	2.6110399
like	NP Ved that S	negative	Someone didn\'t like that a particular thing happened	-0.050017927	2.6090033
like	NP Ved that S	positive	Someone liked that a particular thing happened	-0.046327457	2.6090033
dissatisfy	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t dissatisfied to have a particular thing.	-0.25105152	2.591441
dissatisfy	NP was Ved to VP[-eventive]	positive	A particular person was dissatisfied to have a particular thing.	-0.18065384	2.591441
fluster	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t flustered to have a particular thing.	-0.52153295	2.5555997
fluster	NP was Ved to VP[-eventive]	positive	A particular person was flustered to have a particular thing.	-0.3142336	2.5555997
baffle	NP was Ved that S	positive	Someone was baffled that a particular thing happened	-0.061270114	2.5553815
surprise	NP was Ved that S	positive	Someone was surprised that a particular thing happened	-0.061270114	2.5553815
surprise	NP was Ved that S	negative	Someone wasn\'t surprised that a particular thing happened	-0.04311505	2.5553815
baffle	NP was Ved that S	negative	Someone wasn\'t baffled that a particular thing happened	-0.03991092	2.5553815
offend	NP was Ved that S	negative	Someone wasn\'t offended that a particular thing happened	-0.17442034	2.5468802
offend	NP was Ved that S	positive	Someone was offended that a particular thing happened	-0.12520185	2.5468802
unnerve	NP was Ved that S	negative	Someone wasn\'t unnerved that a particular thing happened	-0.23121682	2.5022357
unnerve	NP was Ved that S	positive	Someone was unnerved that a particular thing happened	-0.05390871	2.5022357
anger	NP was Ved that S	positive	Someone was angered that a particular thing happened	-0.059709184	2.5010242
anger	NP was Ved that S	negative	Someone wasn\'t angered that a particular thing happened	-0.044687312	2.5010242
amaze	NP was Ved that S	positive	Someone was amazed that a particular thing happened	-0.05105596	2.4978292
amaze	NP was Ved that S	negative	Someone wasn\'t amazed that a particular thing happened	-0.069084555	2.4978292
revolt	NP was Ved that S	positive	Someone was revolted that a particular thing happened	-0.02617597	2.4909067
revolt	NP was Ved that S	negative	Someone wasn\'t revolted that a particular thing happened	-0.06508207	2.4909067
embarrass	NP was Ved that S	negative	Someone wasn\'t embarrassed that a particular thing happened	-0.062306765	2.4876785
embarrass	NP was Ved that S	positive	Someone was embarrassed that a particular thing happened	-0.050547674	2.4876785
hate	NP Ved that S	positive	Someone hated that a particular thing happened	-0.028298471	2.4836931
hate	NP Ved that S	negative	Someone didn\'t hate that a particular thing happened	-0.06552208	2.4836931
upset	NP was Ved that S	negative	Someone wasn\'t upset that a particular thing happened	-0.051947154	2.4796839
upset	NP was Ved that S	positive	Someone was upset that a particular thing happened	-0.035650373	2.4796839
astound	NP was Ved to VP[-eventive]	positive	A particular person was astounded to have a particular thing.	-0.16658907	2.466687
astound	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t astounded to have a particular thing.	-0.3017498	2.466687
mystify	NP was Ved that S	negative	Someone wasn\'t mystified that a particular thing happened	-0.22247979	2.4660723
mystify	NP was Ved that S	positive	Someone was mystified that a particular thing happened	-0.13080634	2.4660723
relieve	NP was Ved to VP[+eventive]	positive	A particular person was relieved to do a particular thing.	-0.14986376	2.463971
relieve	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t relieved to do a particular thing.	-0.49176055	2.463971
alarm	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t alarmed to have a particular thing.	-0.3670756	2.4587517
alarm	NP was Ved to VP[-eventive]	positive	A particular person was alarmed to have a particular thing.	-0.22758624	2.4587517
realize	NP Ved that S	negative	Someone didn\'t realize that a particular thing happened	-0.0397309	2.4542797
realize	NP Ved that S	positive	Someone realized that a particular thing happened	-0.05092427	2.4542797
shame	NP was Ved that S	negative	Someone wasn\'t shamed that a particular thing happened	-0.043464072	2.4366093
shame	NP was Ved that S	positive	Someone was shamed that a particular thing happened	-0.067954004	2.4366093
gratify	NP was Ved to VP[+eventive]	positive	A particular person was gratified to do a particular thing.	-0.16373421	2.434293
gratify	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t gratified to do a particular thing.	-0.4020194	2.434293
insult	NP was Ved that S	positive	Someone was insulted that a particular thing happened	-0.05371459	2.4272234
marvel	NP Ved that S	positive	Someone marvelled that a particular thing happened	-0.05371459	2.4272234
insult	NP was Ved that S	negative	Someone wasn\'t insulted that a particular thing happened	-0.041368064	2.4272234
marvel	NP Ved that S	negative	Someone didn\'t marvel that a particular thing happened	-0.041368064	2.4272234
outrage	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t outraged to have a particular thing.	-0.58089197	2.4237623
outrage	NP was Ved to VP[-eventive]	positive	A particular person was outraged to have a particular thing.	-0.14259619	2.4237623
excite	NP was Ved that S	negative	Someone wasn\'t excited that a particular thing happened	-0.04711302	2.42271
excite	NP was Ved that S	positive	Someone was excited that a particular thing happened	-0.057471376	2.42271
flip_out	NP was Ved that S	negative	Someone wasn\'t flipped out that a particular thing happened	-0.10227855	2.4219828
flip_out	NP was Ved that S	positive	Someone was flipped out that a particular thing happened	-0.05868423	2.4219828
enthrall	NP was Ved to VP[-eventive]	positive	A particular person was enthralled to have a particular thing.	-0.2017683	2.4214559
enthrall	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t enthralled to have a particular thing.	-0.26259813	2.4214559
love	NP Ved that S	positive	Someone loved that a particular thing happened	-0.055148277	2.421117
love	NP Ved that S	negative	Someone didn\'t love that a particular thing happened	-0.038227297	2.421117
horrify	NP was Ved that S	positive	Someone was horrified that a particular thing happened	-0.055148277	2.421117
horrify	NP was Ved that S	negative	Someone wasn\'t horrified that a particular thing happened	-0.041588996	2.421117
devastate	NP was Ved that S	positive	Someone was devastated that a particular thing happened	-0.037089627	2.420023
devastate	NP was Ved that S	negative	Someone wasn\'t devastated that a particular thing happened	-0.054082226	2.420023
hurt	NP was Ved to VP[-eventive]	positive	A particular person was hurt to have a particular thing.	-0.14322172	2.4187486
hurt	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t hurt to have a particular thing.	-0.35386008	2.4187486
mystify	NP was Ved to VP[-eventive]	positive	A particular person was mystified to have a particular thing.	-0.25714648	2.4162765
mystify	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t mystified to have a particular thing.	-0.35388014	2.4162765
relish	NP Ved that S	negative	Someone didn\'t relish that a particular thing happened	-0.047384392	2.414325
relish	NP Ved that S	positive	Someone relished that a particular thing happened	-0.052896604	2.414325
alarm	NP was Ved that S	positive	Someone was alarmed that a particular thing happened	-0.05552177	2.4137928
alarm	NP was Ved that S	negative	Someone wasn\'t alarmed that a particular thing happened	-0.037312303	2.4137928
marvel	NP was Ved that S	negative	Someone wasn\'t marvelled that a particular thing happened	-0.04193569	2.411602
stun	NP was Ved that S	positive	Someone was stunned that a particular thing happened	-0.053033642	2.411602
marvel	NP was Ved that S	positive	Someone was marvelled that a particular thing happened	-0.053033642	2.411602
stun	NP was Ved that S	negative	Someone wasn\'t stunned that a particular thing happened	-0.04193569	2.411602
shock	NP was Ved to VP[+eventive]	positive	A particular person was shocked to do a particular thing.	-0.32583946	2.400515
shock	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t shocked to do a particular thing.	-0.3514606	2.400515
horrify	NP was Ved to VP[-eventive]	positive	A particular person was horrified to have a particular thing.	-0.31563702	2.3894277
horrify	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t horrified to have a particular thing.	-0.2206807	2.3894277
pain	NP was Ved to VP[-eventive]	positive	A particular person was pained to have a particular thing.	-0.27963558	2.3883295
pain	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t pained to have a particular thing.	-0.626298	2.3883295
stress	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t stressed to have a particular thing.	-0.3540619	2.3788517
stress	NP was Ved to VP[-eventive]	positive	A particular person was stressed to have a particular thing.	-0.3263817	2.3788517
appreciate	NP Ved that S	positive	Someone appreciated that a particular thing happened	-0.09055605	2.3726377
appreciate	NP Ved that S	negative	Someone didn\'t appreciate that a particular thing happened	-0.0852993	2.3726377
resent	NP Ved that S	negative	Someone didn\'t resent that a particular thing happened	-0.12802938	2.3651767
resent	NP Ved that S	positive	Someone resented that a particular thing happened	-0.088469066	2.3651767
sadden	NP was Ved that S	positive	Someone was saddened that a particular thing happened	-0.029635644	2.359288
sadden	NP was Ved that S	negative	Someone wasn\'t saddened that a particular thing happened	-0.058250766	2.359288
content	NP was Ved that S	negative	Someone wasn\'t contented that a particular thing happened	-0.08353177	2.3391173
content	NP was Ved that S	positive	Someone was contented that a particular thing happened	-0.07993284	2.3391173
annoy	NP was Ved that S	negative	Someone wasn\'t annoyed that a particular thing happened	-0.16405284	2.3292956
annoy	NP was Ved that S	positive	Someone was annoyed that a particular thing happened	-0.058923226	2.3292956
freak_out	NP was Ved that S	positive	Someone was freaked out that a particular thing happened	-0.05771028	2.322457
freak_out	NP was Ved that S	negative	Someone wasn\'t freaked out that a particular thing happened	-0.26642543	2.322457
shame	NP was Ved to VP[+eventive]	positive	A particular person was shamed to do a particular thing.	-0.28274372	2.320898
shame	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t shamed to do a particular thing.	-0.4920396	2.320898
dishearten	NP was Ved that S	negative	Someone wasn\'t disheartened that a particular thing happened	-0.106295064	2.3082788
dishearten	NP was Ved that S	positive	Someone was disheartened that a particular thing happened	-0.09567904	2.3082788
forget	NP Ved that S	positive	Someone forgot that a particular thing happened	-0.061863028	2.272712
forget	NP Ved that S	negative	Someone didn\'t forget that a particular thing happened	-0.07018621	2.272712
impress	NP was Ved that S	positive	Someone was impressed that a particular thing happened	-0.079997554	2.2684455
impress	NP was Ved that S	negative	Someone wasn\'t impressed that a particular thing happened	-0.11669655	2.2684455
freak_out	NP was Ved to VP[-eventive]	positive	A particular person was freaked out to have a particular thing.	-0.34803498	2.2667894
freak_out	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t freaked out to have a particular thing.	-0.29431495	2.2667894
shock	NP was Ved that S	negative	Someone wasn\'t shocked that a particular thing happened	-0.19115484	2.2639625
shock	NP was Ved that S	positive	Someone was shocked that a particular thing happened	-0.09669086	2.2639625
madden	NP was Ved that S	positive	Someone was maddened that a particular thing happened	-0.06173053	2.2511277
madden	NP was Ved that S	negative	Someone wasn\'t maddened that a particular thing happened	-0.17380022	2.2511277
demoralize	NP was Ved that S	positive	Someone was demoralized that a particular thing happened	-0.04764707	2.2480679
demoralize	NP was Ved that S	negative	Someone wasn\'t demoralized that a particular thing happened	-0.04838028	2.2480679
amuse	NP was Ved to VP[+eventive]	positive	A particular person was amused to do a particular thing.	-0.35455495	2.2035124
amuse	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t amused to do a particular thing.	-0.3091327	2.2035124
delight	NP was Ved that S	negative	Someone wasn\'t delighted that a particular thing happened	-0.0550255	2.2032301
flatter	NP was Ved that S	negative	Someone wasn\'t flattered that a particular thing happened	-0.0550255	2.2032301
flatter	NP was Ved that S	positive	Someone was flattered that a particular thing happened	-0.04563821	2.2032301
delight	NP was Ved that S	positive	Someone was delighted that a particular thing happened	-0.04563821	2.2032301
enthuse	NP was Ved that S	negative	Someone wasn\'t enthused that a particular thing happened	-0.16529287	2.186468
enthuse	NP was Ved that S	positive	Someone was enthused that a particular thing happened	-0.36864233	2.186468
frustrate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t frustrated to have a particular thing.	-0.32980338	2.1856148
frustrate	NP was Ved to VP[-eventive]	positive	A particular person was frustrated to have a particular thing.	-0.19534323	2.1856148
apologize	NP Ved that S	negative	Someone didn\'t apologize that a particular thing happened	-0.046526346	2.1829815
apologize	NP Ved that S	positive	Someone apologized that a particular thing happened	-0.046526346	2.1829815
amuse	NP was Ved that S	positive	Someone was amused that a particular thing happened	-0.08003604	2.176767
amuse	NP was Ved that S	negative	Someone wasn\'t amused that a particular thing happened	-0.17864491	2.176767
satisfy	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t satisfied to have a particular thing.	-0.716184	2.1731632
satisfy	NP was Ved to VP[-eventive]	positive	A particular person was satisfied to have a particular thing.	-0.351972	2.1731632
spot	NP Ved that S	negative	Someone didn\'t spot that a particular thing happened	-0.20406502	2.1716232
spot	NP Ved that S	positive	Someone spotted that a particular thing happened	-0.066521965	2.1716232
trouble	NP was Ved that S	negative	Someone wasn\'t troubled that a particular thing happened	-0.13070913	2.1617148
trouble	NP was Ved that S	positive	Someone was troubled that a particular thing happened	-0.051425055	2.1617148
exhilarate	NP was Ved that S	negative	Someone wasn\'t exhilarated that a particular thing happened	-0.15969993	2.1518261
exhilarate	NP was Ved that S	positive	Someone was exhilarated that a particular thing happened	-0.11091307	2.1518261
enjoy	NP Ved that S	positive	Someone enjoyed that a particular thing happened	-0.069925025	2.141
enjoy	NP Ved that S	negative	Someone didn\'t enjoy that a particular thing happened	-0.14923482	2.141
gladden	NP was Ved that S	positive	Someone was gladdened that a particular thing happened	-0.0827553	2.1392012
gladden	NP was Ved that S	negative	Someone wasn\'t gladdened that a particular thing happened	-0.10670334	2.1392012
content	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t contented to have a particular thing.	-0.41605124	2.1381288
content	NP was Ved to VP[-eventive]	positive	A particular person was contented to have a particular thing.	-0.38572815	2.1381288
spook	NP was Ved that S	negative	Someone wasn\'t spooked that a particular thing happened	-0.20403565	2.1375754
spook	NP was Ved that S	positive	Someone was spooked that a particular thing happened	-0.09018465	2.1375754
aggravate	NP was Ved that S	positive	Someone was aggravated that a particular thing happened	-0.07498003	2.1364608
aggravate	NP was Ved that S	negative	Someone wasn\'t aggravated that a particular thing happened	-0.06387345	2.1364608
appall	NP was Ved that S	negative	Someone wasn\'t appalled that a particular thing happened	-0.06561181	2.1349697
appall	NP was Ved that S	positive	Someone was appalled that a particular thing happened	-0.07195375	2.1349697
bother	NP was Ved that S	positive	Someone was bothered that a particular thing happened	-0.09068739	2.1314728
bother	NP was Ved that S	negative	Someone wasn\'t bothered that a particular thing happened	-0.17716968	2.1314728
dislike	NP Ved that S	positive	Someone disliked that a particular thing happened	-0.06915926	2.1301281
dislike	NP Ved that S	negative	Someone didn\'t dislike that a particular thing happened	-0.14724003	2.1301281
startle	NP was Ved that S	negative	Someone wasn\'t startled that a particular thing happened	-0.07649681	2.1148036
startle	NP was Ved that S	positive	Someone was startled that a particular thing happened	-0.06623434	2.1148036
intimidate	NP was Ved that S	negative	Someone wasn\'t intimidated that a particular thing happened	-0.092314355	2.1119335
intimidate	NP was Ved that S	positive	Someone was intimidated that a particular thing happened	-0.29955623	2.1119335
move	NP was Ved that S	positive	Someone was moved that a particular thing happened	-0.05384219	2.1097648
move	NP was Ved that S	negative	Someone wasn\'t moved that a particular thing happened	-0.076688014	2.1097648
humiliate	NP was Ved to VP[-eventive]	positive	A particular person was humiliated to have a particular thing.	-0.24581276	2.1041462
humiliate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t humiliated to have a particular thing.	-0.3649398	2.1041462
pain	NP was Ved that S	negative	Someone wasn\'t pained that a particular thing happened	-0.21648955	2.0983443
pain	NP was Ved that S	positive	Someone was pained that a particular thing happened	-0.3183512	2.0983443
dismay	NP was Ved that S	negative	Someone wasn\'t dismayed that a particular thing happened	-0.2143185	2.0923674
dismay	NP was Ved that S	positive	Someone was dismayed that a particular thing happened	-0.093970105	2.0923674
gloat	NP Ved to VP[-eventive]	positive	A particular person gloated to have a particular thing.	-0.2577653	2.0919535
gloat	NP Ved to VP[-eventive]	negative	A particular person didn\'t gloat to have a particular thing.	-0.46670616	2.0919535
thrill	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t thrilled to do a particular thing.	-0.50019294	2.0683236
thrill	NP was Ved to VP[+eventive]	positive	A particular person was thrilled to do a particular thing.	-0.2503393	2.0683236
disclose	NP Ved that S	negative	Someone didn\'t disclose that a particular thing happened	-0.102005914	2.0650725
disclose	NP Ved that S	positive	Someone disclosed that a particular thing happened	-0.120273575	2.0650725
grieve	NP was Ved that S	negative	Someone wasn\'t grieved that a particular thing happened	-0.19241367	2.0639758
grieve	NP was Ved that S	positive	Someone was grieved that a particular thing happened	-0.11524001	2.0639758
anguish	NP was Ved that S	positive	Someone was anguished that a particular thing happened	-0.07536272	2.0599086
anguish	NP was Ved that S	negative	Someone wasn\'t anguished that a particular thing happened	-0.10728775	2.0599086
comfort	NP was Ved to VP[-eventive]	positive	A particular person was comforted to have a particular thing.	-0.22545817	2.049131
comfort	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t comforted to have a particular thing.	-0.51538265	2.049131
fess_up	NP Ved that S	negative	Someone didn\'t fess up that a particular thing happened	-0.09361586	2.0262442
fess_up	NP Ved that S	positive	Someone fessed up that a particular thing happened	-0.22160372	2.0262442
notice	NP Ved that S	positive	Someone noticed that a particular thing happened	-0.07808423	2.0213323
notice	NP Ved that S	negative	Someone didn\'t notice that a particular thing happened	-0.25043792	2.0213323
hate	NP Ved to VP[-eventive]	positive	A particular person hated to have a particular thing.	-0.51822853	2.0204988
hate	NP Ved to VP[-eventive]	negative	A particular person didn\'t hate to have a particular thing.	-0.31729764	2.0204988
elate	NP was Ved that S	positive	Someone was elated that a particular thing happened	-0.10252472	2.0073233
elate	NP was Ved that S	negative	Someone wasn\'t elated that a particular thing happened	-0.13253407	2.0073233
disgruntle	NP was Ved that S	negative	Someone wasn\'t disgruntled that a particular thing happened	-0.2049369	2.004398
disgruntle	NP was Ved that S	positive	Someone was disgruntled that a particular thing happened	-0.123579055	2.004398
infuriate	NP was Ved to VP[-eventive]	positive	A particular person was infuriated to have a particular thing.	-0.3605245	1.9857097
infuriate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t infuriated to have a particular thing.	-0.39852175	1.9857097
traumatize	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t traumatized to do a particular thing.	-0.45890534	1.9819418
traumatize	NP was Ved to VP[+eventive]	positive	A particular person was traumatized to do a particular thing.	-0.25973934	1.9819418
vex	NP was Ved that S	negative	Someone wasn\'t vexed that a particular thing happened	-0.2450057	1.9783477
