participant	list	presentationorder	verb	frame	tense	sentence	response	nativeenglish	version
21	0	41	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
45	0	30	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
30	0	50	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
16	0	30	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
6	0	15	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
31	0	40	ask	NP be V whether S	present	Someone is asked whether something happened.	3.0	True	2
12	0	21	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
18	0	28	ask	NP be V whether S	present	Someone is asked whether something happened.	5.0	True	2
41	0	40	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
3	0	40	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
4	0	40	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
39	0	46	ask	NP be V whether S	present	Someone is asked whether something happened.	1.0	True	2
19	0	47	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
25	0	33	ask	NP be V whether S	present	Someone is asked whether something happened.	5.0	True	2
8	0	32	ask	NP be V whether S	present	Someone is asked whether something happened.	4.0	True	2
27	0	14	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
40	0	23	ask	NP be V whether S	present	Someone is asked whether something happened.	5.0	True	2
13	0	29	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
22	0	33	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
9	0	45	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
14	0	31	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
28	0	37	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
35	0	37	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
23	0	4	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
44	0	16	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
10	0	17	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
33	0	41	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
24	0	42	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
2	0	24	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
47	0	35	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	4.0	True	1
17	0	11	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	5.0	True	1
43	0	45	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	4.0	True	1
20	0	10	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
42	0	46	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	4.0	True	1
34	0	22	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
11	0	49	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
5	0	31	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
38	0	31	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
0	0	17	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	4.0	True	1
48	0	18	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
37	0	33	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	5.0	True	1
26	0	15	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
29	0	2	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
46	0	17	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
1	0	9	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
32	0	18	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
7	0	18	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
36	0	31	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
49	0	35	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	4.0	True	1
15	0	35	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
21	0	13	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
45	0	17	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
30	0	3	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
16	0	28	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
6	0	45	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
31	0	25	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	5.0	True	1
12	0	31	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
18	0	23	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
41	0	17	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
3	0	2	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	5.0	True	1
4	0	3	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
39	0	16	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
19	0	1	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	5.0	True	1
25	0	1	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
8	0	17	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
27	0	1	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
40	0	39	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
13	0	1	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
22	0	42	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
9	0	47	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
14	0	8	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	6.0	True	1
28	0	32	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
35	0	39	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
23	0	2	astound	NP be V that S[+future]	past	Someone was astounded that something would happen.	7.0	True	1
44	0	8	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
10	0	1	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
33	0	24	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
24	0	45	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
2	0	27	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
47	0	18	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
17	0	36	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
43	0	3	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
20	0	21	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	3.0	True	1
42	0	1	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
34	0	31	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
11	0	24	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
5	0	9	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
38	0	39	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
0	0	13	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	3.0	True	1
48	0	40	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
37	0	19	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
26	0	18	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
29	0	48	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
46	0	34	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	3.0	True	1
1	0	21	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
32	0	46	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	3.0	True	1
7	0	43	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
36	0	48	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
49	0	43	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	3.0	True	1
15	0	26	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
21	0	43	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	6.0	True	1
45	0	42	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
30	0	25	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
16	0	25	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	3.0	True	1
6	0	37	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
31	0	29	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
12	0	17	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
18	0	32	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
41	0	9	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
3	0	18	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
4	0	20	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
39	0	18	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	5.0	True	1
19	0	21	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
25	0	10	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
8	0	47	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
27	0	7	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
40	0	35	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	7.0	True	1
13	0	17	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	4.0	True	1
22	0	20	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
9	0	22	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
14	0	33	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
28	0	2	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	2.0	True	1
35	0	1	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
23	0	39	begin	NP be V that S[-tense]	past	Someone was begun that something happen.	1.0	True	1
44	0	31	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	1.0	True	2
10	0	38	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
33	0	45	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	1.0	True	2
24	0	21	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
2	0	40	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	1.0	True	2
47	0	13	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
17	0	12	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
43	0	21	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
20	0	41	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
42	0	28	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
34	0	38	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
11	0	20	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
5	0	4	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	3.0	True	2
38	0	4	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	3.0	True	2
0	0	23	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
48	0	47	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	1.0	True	2
37	0	39	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	1.0	True	2
26	0	22	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	6.0	True	2
29	0	41	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
46	0	24	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	7.0	True	2
1	0	3	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
32	0	50	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	6.0	True	2
7	0	48	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
36	0	30	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
49	0	31	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
15	0	15	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	6.0	True	2
21	0	6	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	7.0	True	2
45	0	29	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
30	0	4	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
16	0	15	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
6	0	46	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
31	0	3	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
12	0	14	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	3.0	True	2
18	0	14	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	3.0	True	2
41	0	16	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
3	0	39	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	1.0	True	2
4	0	47	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
39	0	20	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
19	0	16	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	3.0	True	2
25	0	21	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
8	0	29	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
27	0	30	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
40	0	41	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	6.0	True	2
13	0	23	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	4.0	True	2
22	0	15	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
9	0	4	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	7.0	True	2
14	0	21	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	3.0	True	2
28	0	14	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	5.0	True	2
35	0	40	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	7.0	True	2
23	0	16	bewilder	NP be V S	past_progressive	Someone was being bewildered something happened.	2.0	True	2
44	0	4	bother	NP V NP VP	present	Someone bothers someone do something.	6.0	True	2
10	0	8	bother	NP V NP VP	present	Someone bothers someone do something.	3.0	True	2
33	0	17	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
24	0	26	bother	NP V NP VP	present	Someone bothers someone do something.	3.0	True	2
2	0	18	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
47	0	25	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
17	0	46	bother	NP V NP VP	present	Someone bothers someone do something.	6.0	True	2
43	0	4	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
20	0	33	bother	NP V NP VP	present	Someone bothers someone do something.	6.0	True	2
42	0	18	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
34	0	9	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
11	0	19	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
5	0	10	bother	NP V NP VP	present	Someone bothers someone do something.	5.0	True	2
38	0	9	bother	NP V NP VP	present	Someone bothers someone do something.	3.0	True	2
0	0	18	bother	NP V NP VP	present	Someone bothers someone do something.	3.0	True	2
48	0	44	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
37	0	17	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
26	0	48	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
29	0	46	bother	NP V NP VP	present	Someone bothers someone do something.	5.0	True	2
46	0	49	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
1	0	35	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
32	0	36	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
7	0	34	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
36	0	28	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
49	0	45	bother	NP V NP VP	present	Someone bothers someone do something.	5.0	True	2
15	0	34	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
21	0	19	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
45	0	33	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
30	0	10	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
16	0	8	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
6	0	26	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
31	0	7	bother	NP V NP VP	present	Someone bothers someone do something.	5.0	True	2
12	0	19	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
18	0	42	bother	NP V NP VP	present	Someone bothers someone do something.	6.0	True	2
41	0	49	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
3	0	11	bother	NP V NP VP	present	Someone bothers someone do something.	6.0	True	2
4	0	4	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
39	0	19	bother	NP V NP VP	present	Someone bothers someone do something.	3.0	True	2
19	0	27	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
25	0	17	bother	NP V NP VP	present	Someone bothers someone do something.	4.0	True	2
8	0	36	bother	NP V NP VP	present	Someone bothers someone do something.	3.0	True	2
27	0	34	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
40	0	7	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
13	0	11	bother	NP V NP VP	present	Someone bothers someone do something.	4.0	True	2
22	0	49	bother	NP V NP VP	present	Someone bothers someone do something.	2.0	True	2
9	0	33	bother	NP V NP VP	present	Someone bothers someone do something.	7.0	True	2
14	0	5	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
28	0	19	bother	NP V NP VP	present	Someone bothers someone do something.	5.0	True	2
35	0	30	bother	NP V NP VP	present	Someone bothers someone do something.	5.0	True	2
23	0	49	bother	NP V NP VP	present	Someone bothers someone do something.	1.0	True	2
44	0	11	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
10	0	12	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
33	0	44	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
24	0	9	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
2	0	44	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
47	0	1	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	5.0	True	1
17	0	22	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	4.0	True	1
43	0	20	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
20	0	43	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	5.0	True	1
42	0	34	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
34	0	19	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
11	0	35	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
5	0	34	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
38	0	19	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
0	0	29	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
48	0	43	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
37	0	24	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
26	0	7	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
29	0	31	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
46	0	1	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
1	0	1	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	6.0	True	1
32	0	2	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	5.0	True	1
7	0	40	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
36	0	10	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
49	0	5	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	4.0	True	1
15	0	18	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	5.0	True	1
21	0	10	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	7.0	True	1
45	0	9	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	4.0	True	1
30	0	17	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
16	0	45	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	4.0	True	1
6	0	17	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
31	0	1	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
12	0	6	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
18	0	10	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
41	0	25	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
3	0	43	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
4	0	12	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
39	0	7	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
19	0	13	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
25	0	35	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	6.0	True	1
8	0	22	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	4.0	True	1
27	0	49	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
40	0	14	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	6.0	True	1
13	0	28	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	3.0	True	1
22	0	45	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	4.0	True	1
9	0	5	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
14	0	41	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
28	0	16	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	2.0	True	1
35	0	35	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
23	0	43	cackle	NP be V about whether S	past	Someone was cackled about whether something happened.	1.0	True	1
44	0	1	clarify	NP V whichNP S	past	Someone clarified which thing happened.	5.0	True	1
10	0	18	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
33	0	18	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
24	0	11	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
2	0	28	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
47	0	8	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
17	0	18	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
43	0	44	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
20	0	17	clarify	NP V whichNP S	past	Someone clarified which thing happened.	5.0	True	1
42	0	7	clarify	NP V whichNP S	past	Someone clarified which thing happened.	2.0	True	1
34	0	35	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
11	0	40	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
5	0	50	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
38	0	47	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
0	0	19	clarify	NP V whichNP S	past	Someone clarified which thing happened.	4.0	True	1
48	0	42	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
37	0	49	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
26	0	19	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
29	0	42	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
46	0	2	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
1	0	36	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
32	0	3	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
7	0	16	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
36	0	24	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
49	0	2	clarify	NP V whichNP S	past	Someone clarified which thing happened.	5.0	True	1
15	0	44	clarify	NP V whichNP S	past	Someone clarified which thing happened.	6.0	True	1
21	0	42	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
45	0	43	clarify	NP V whichNP S	past	Someone clarified which thing happened.	7.0	True	1
