antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
dread	positive	NP V that S[+future]	subject	want	future	A dreaded that C would happen	0.06927017867565155
tweet	positive	NP V that S[+future]	subject	want	future	A tweeted that C would happen	0.6499040722846985
reconsider	positive	NP V that S[+future]	subject	believe	future	A reconsidered that C would happen	0.6924691200256348
console	positive	NP be V that S[+future]	subject	want	future	A was consoled that C would happen	0.7975962162017822
explore	negative	NP V that S[+future]	subject	believe	future	A didn't explore that C would happen	0.43542057275772095
argue	negative	NP V to NP that S[+future]	object	want	future	A didn't argue to B that C would happen	0.5783438086509705
explain	positive	NP V to NP that S	object	want	past	A explained to B that C happened	0.581250011920929
unnerve	positive	NP be V that S[+future]	subject	want	future	A was unnerved that C would happen	0.11115960776805878
rediscover	positive	NP V that S	subject	believe	past	A rediscovered that C happened	0.842742919921875
curse	positive	NP be V that S[+future]	subject	want	future	A was cursed that C would happen	0.15529488027095795
communicate	negative	NP V to NP that S	subject	believe	past	A didn't communicate to B that C happened	0.4601045548915863
sigh	positive	NP V that S[+future]	subject	believe	future	A sighed that C would happen	0.6510552763938904
satisfy	negative	NP be V that S[+future]	subject	want	future	A wasn't satisfied that C would happen	0.052710626274347305
illustrate	negative	NP V to NP that S	subject	believe	past	A didn't illustrate to B that C happened	0.46223166584968567
grumble	negative	NP V to NP that S[+future]	subject	want	future	A didn't grumble to B that C would happen	0.5881070494651794
bullshit	positive	NP be V that S	subject	want	past	A was bullshitted that C happened	0.5914781093597412
educate	positive	NP V NP that S	object	believe	past	A educated B that C happened	0.741858959197998
dictate	positive	NP be V that S	subject	believe	past	A was dictated that C happened	0.7760615944862366
gasp	positive	NP V that S[+future]	subject	believe	future	A gasped that C would happen	0.653236985206604
bicker	negative	NP V to NP that S[+future]	object	want	future	A didn't bicker to B that C would happen	0.5788037776947021
expose	negative	NP V to NP that S[+future]	object	believe	future	A didn't expose to B that C would happen	0.42442786693573
thrill	positive	NP be V that S[+future]	subject	believe	future	A was thrilled that C would happen	0.8499188423156738
relish	positive	NP V that S[+future]	subject	want	future	A relished that C would happen	0.9206589460372925
sketch	negative	NP V that S	subject	want	past	A didn't sketch that C happened	0.4500878155231476
vow	positive	NP V to NP that S	object	believe	past	A vowed to B that C happened	0.7444542646408081
appraise	negative	NP V that S[+future]	subject	want	future	A didn't appraise that C would happen	0.395672470331192
advertise	negative	NP V that S[+future]	subject	want	future	A didn't advertise that C would happen	0.37632161378860474
bitch	positive	NP V to NP that S	subject	believe	past	A bitched to B that C happened	0.9129477143287659
mutter	negative	NP V to NP that S	subject	believe	past	A didn't mutter to B that C happened	0.48419255018234253
recap	negative	NP V to NP that S	object	want	past	A didn't recap to B that C happened	0.5340547561645508
find	positive	NP V that S[+future]	subject	want	future	A found that C would happen	0.6102951765060425
conceal	positive	NP V to NP that S[+future]	subject	want	future	A concealed to B that C would happen	0.5123816728591919
specify	negative	NP V to NP that S	subject	want	past	A didn't specify to B that C happened	0.41775578260421753
gossip	positive	NP V to NP that S	subject	believe	past	A gossipped to B that C happened	0.8874627947807312
gather	positive	NP V that S[+future]	subject	want	future	A gathered that C would happen	0.7200399041175842
point_out	negative	NP V to NP that S	object	believe	past	A didn't point out to B that C happened	0.4119757413864136
deem	positive	NP V that S	subject	believe	past	A deemed that C happened	0.9225960969924927
shout	negative	NP V that S[+future]	subject	believe	future	A didn't shout that C would happen	0.46193262934684753
reconsider	negative	NP V that S[+future]	subject	believe	future	A didn't reconsider that C would happen	0.6664938926696777
mumble	negative	NP V to NP that S	subject	believe	past	A didn't mumble to B that C happened	0.5992264151573181
impress	positive	NP be V that S	subject	want	past	A was impressed that C happened	0.8133623003959656
emphasize	positive	NP V that S[+future]	subject	want	future	A emphasized that C would happen	0.7020057439804077
maintain	positive	NP V that S	subject	want	past	A maintained that C happened	0.7495658993721008
indict	positive	NP V that S	subject	want	past	A indicted that C happened	0.6531471014022827
present	positive	NP V that S[+future]	subject	believe	future	A presented that C would happen	0.8716724514961243
acknowledge	negative	NP V that S[+future]	subject	believe	future	A didn't acknowledge that C would happen	0.32019591331481934
implore	negative	NP V that S[+future]	subject	want	future	A didn't implore that C would happen	0.32182013988494873
concur	positive	NP be V that S	subject	want	past	A was concurred that C happened	0.5874858498573303
scrawl	negative	NP V to NP that S[+future]	subject	believe	future	A didn't scrawl to B that C would happen	0.4285838305950165
amaze	negative	NP V that S	subject	believe	past	A didn't amaze that C happened	0.6650250554084778
quarrel	negative	NP V that S	subject	believe	past	A didn't quarrel that C happened	0.7654050588607788
induce	negative	NP V that S	subject	believe	past	A didn't induce that C happened	0.43429264426231384
crush	positive	NP be V that S	subject	want	past	A was crushed that C happened	0.03687103092670441
scribble	negative	NP V that S[+future]	subject	want	future	A didn't scribble that C would happen	0.43815815448760986
utter	positive	NP V to NP that S[+future]	subject	want	future	A uttered to B that C would happen	0.5233210325241089
ponder	negative	NP V that S[+future]	subject	believe	future	A didn't ponder that C would happen	0.380937784910202
confide	negative	NP V that S[+future]	subject	want	future	A didn't confide that C would happen	0.40141671895980835
excite	positive	NP be V that S[+future]	subject	believe	future	A was excited that C would happen	0.8319867849349976
propose	positive	NP V that S	subject	want	past	A proposed that C happened	0.6676984429359436
shriek	positive	NP V to NP that S	object	want	past	A shrieked to B that C happened	0.50334233045578
counter	positive	NP V to NP that S[+future]	object	believe	future	A countered to B that C would happen	0.4519672393798828
stun	negative	NP be V that S[+future]	subject	want	future	A wasn't stunned that C would happen	0.5185396671295166
stew	positive	NP be V that S	subject	want	past	A was stewed that C happened	0.09818488359451294
say	positive	NP V to NP that S	object	want	past	A said to B that C happened	0.5139753818511963
shout	positive	NP V to NP that S	subject	believe	past	A shouted to B that C happened	0.8834074139595032
respond	negative	NP V to NP that S[+future]	subject	believe	future	A didn't respond to B that C would happen	0.3982824683189392
state	positive	NP V to NP that S[+future]	object	want	future	A stated to B that C would happen	0.5300689935684204
chatter	positive	NP V to NP that S	subject	want	past	A chattered to B that C happened	0.5748459696769714
whimper	positive	NP V that S	subject	want	past	A whimpered that C happened	0.12554244697093964
freak_out	positive	NP V that S[+future]	subject	believe	future	A freaked out that C would happen	0.7636656761169434
influence	negative	NP V that S[-tense]	subject	believe	future	A didn't influence that C happen	0.4438232481479645
satisfy	negative	NP be V that S	subject	believe	past	A wasn't satisfied that C happened	0.6359127759933472
disbelieve	negative	NP be V that S[+future]	subject	want	future	A wasn't disbelieved that C would happen	0.47903352975845337
hallucinate	negative	NP V that S[+future]	subject	believe	future	A didn't hallucinate that C would happen	0.5269274115562439
update	positive	NP V that S	subject	believe	past	A updated that C happened	0.8926092386245728
restate	positive	NP V that S	subject	believe	past	A restated that C happened	0.9236323237419128
voice	positive	NP V that S	subject	believe	past	A voiced that C happened	0.9295335412025452
encourage	positive	NP be V that S	subject	want	past	A was encouraged that C happened	0.8980037569999695
articulate	negative	NP V that S	subject	believe	past	A didn't articulate that C happened	0.42687734961509705
insinuate	negative	NP V to NP that S[+future]	subject	believe	future	A didn't insinuate to B that C would happen	0.3429417312145233
dispel	positive	NP V that S	subject	believe	past	A dispelled that C happened	0.2783138155937195
applaud	negative	NP V that S[+future]	subject	want	future	A didn't applaud that C would happen	0.1700199842453003
narrate	positive	NP V to NP that S[+future]	object	believe	future	A narrated to B that C would happen	0.6384474039077759
overhear	negative	NP be V that S	subject	believe	past	A wasn't overheard that C happened	0.49970394372940063
confide	negative	NP V to NP that S[+future]	subject	believe	future	A didn't confide to B that C would happen	0.5870538949966431
rationalize	positive	NP V to NP that S	subject	want	past	A rationalized to B that C happened	0.5146827697753906
verify	positive	NP V to NP that S	subject	want	past	A verified to B that C happened	0.6760091185569763
lecture	positive	NP V to NP that S	object	want	past	A lectured to B that C happened	0.3324466943740845
pester	positive	NP be V that S	subject	want	past	A was pestered that C happened	0.12775491178035736
concur	negative	NP V that S[+future]	subject	want	future	A didn't concur that C would happen	0.3090188205242157
recap	positive	NP V that S	subject	want	past	A recapped that C happened	0.6260140538215637
caution	negative	NP V NP that S	object	want	past	A didn't caution B that C happened	0.39966869354248047
fantasize	positive	NP V to NP that S[+future]	object	want	future	A fantasized to B that C would happen	0.5896442532539368
speculate	positive	NP V that S[+future]	subject	believe	future	A speculated that C would happen	0.6950331330299377
remind	positive	NP V that S[+future]	subject	want	future	A reminded that C would happen	0.6467183232307434
content	positive	NP be V that S[+future]	subject	believe	future	A was contented that C would happen	0.8300032615661621
claim	positive	NP V to NP that S	subject	want	past	A claimed to B that C happened	0.6561157703399658
taunt	positive	NP V that S[+future]	subject	want	future	A taunted that C would happen	0.780062198638916
exclaim	positive	NP V that S[+future]	subject	believe	future	A exclaimed that C would happen	0.8814083337783813
rule	negative	NP V that S[+future]	subject	want	future	A didn't rule that C would happen	0.3797817528247833
endorse	positive	NP V that S[+future]	subject	believe	future	A endorsed that C would happen	0.852023720741272
mock	positive	NP V that S	subject	believe	past	A mocked that C happened	0.8443493247032166
determine	positive	NP be V that S	subject	believe	past	A was determined that C happened	0.9044497609138489
shout	positive	NP V to NP that S[+future]	object	believe	future	A shouted to B that C would happen	0.7018005847930908
request	positive	NP V that S	subject	want	past	A requested that C happened	0.9366479516029358
deny	positive	NP V that S[+future]	subject	want	future	A denied that C would happen	0.20675165951251984
boast	negative	NP V that S	subject	believe	past	A didn't boast that C happened	0.5989983081817627
gripe	negative	NP V that S[+future]	subject	want	future	A didn't gripe that C would happen	0.7555041909217834
distrust	negative	NP V NP that S	object	believe	past	A didn't distrust B that C happened	0.819296658039093
turn_out	negative	NP be V that S	subject	believe	past	A wasn't turned out that C happened	0.6630240678787231
depress	positive	NP be V that S[+future]	subject	believe	future	A was depressed that C would happen	0.7950485944747925
abhor	negative	NP V that S	subject	want	past	A didn't abhor that C happened	0.631156325340271
spellbind	negative	NP be V that S	subject	believe	past	A wasn't spellbound that C happened	0.6622442007064819
content	positive	NP be V that S[+future]	subject	want	future	A was contented that C would happen	0.8735527396202087
smirk	positive	NP V that S	subject	believe	past	A smirked that C happened	0.8544723391532898
figure	positive	NP V that S	subject	want	past	A figured that C happened	0.5499358177185059
prove	positive	NP V to NP that S	object	want	past	A proved to B that C happened	0.45553308725357056
reason_out	negative	NP V that S	subject	want	past	A didn't reason out that C happened	0.4803485870361328
shout	negative	NP V to NP that S[+future]	object	believe	future	A didn't shout to B that C would happen	0.4424877166748047
babble	negative	NP V that S	subject	want	past	A didn't babble that C happened	0.4775716960430145
gush	negative	NP V that S[+future]	subject	believe	future	A didn't gush that C would happen	0.48936477303504944
permit	positive	NP V that S	subject	believe	past	A permitted that C happened	0.7898684144020081
say	negative	NP V to NP that S	object	believe	past	A didn't say to B that C happened	0.37271276116371155
address	positive	NP V that S	subject	believe	past	A addressed that C happened	0.8814324140548706
ponder	positive	NP V to NP that S[+future]	subject	want	future	A pondered to B that C would happen	0.5798529386520386
kid	positive	NP be V that S	subject	want	past	A was kidded that C happened	0.3664968013763428
demonstrate	positive	NP V that S	subject	believe	past	A demonstrated that C happened	0.8930319547653198
reply	negative	NP V to NP that S	subject	believe	past	A didn't reply to B that C happened	0.4680742621421814
lecture	negative	NP V that S	subject	want	past	A didn't lecture that C happened	0.49849933385849
interest	positive	NP be V that S[+future]	subject	want	future	A was interested that C would happen	0.7239691019058228
file	negative	NP V that S[+future]	subject	want	future	A didn't file that C would happen	0.3625732660293579
check	negative	NP V that S	subject	believe	past	A didn't check that C happened	0.484866201877594
offend	positive	NP be V that S	subject	believe	past	A was offended that C happened	0.894466757774353
affirm	positive	NP V that S[+future]	subject	believe	future	A affirmed that C would happen	0.8993819952011108
overhear	positive	NP V that S	subject	want	past	A overheard that C happened	0.5198504328727722
fluster	positive	NP be V that S[+future]	subject	want	future	A was flustered that C would happen	0.23135125637054443
anger	positive	NP be V that S	subject	want	past	A was angered that C happened	0.029119281098246574
visualize	negative	NP V that S[+future]	subject	believe	future	A didn't visualize that C would happen	0.329755038022995
establish	positive	NP V that S[+future]	subject	believe	future	A established that C would happen	0.8590289354324341
tease	negative	NP V that S[+future]	subject	want	future	A didn't tease that C would happen	0.5426974296569824
communicate	negative	NP be V that S[+future]	subject	want	future	A wasn't communicated that C would happen	0.442679762840271
piece_together	positive	NP V to NP that S	object	believe	past	A pieced together to B that C happened	0.7310364842414856
find_out	negative	NP V that S[+future]	subject	believe	future	A didn't find out that C would happen	0.3214588761329651
bullshit	positive	NP be V that S	subject	believe	past	A was bullshitted that C happened	0.6652741432189941
specify	negative	NP V to NP that S[+future]	object	want	future	A didn't specify to B that C would happen	0.4299299716949463
describe	positive	NP V to NP that S	subject	believe	past	A described to B that C happened	0.8616328835487366
doubt	positive	NP V that S	subject	want	past	A doubted that C happened	0.3669129014015198
holler	negative	NP V to NP that S[+future]	subject	believe	future	A didn't holler to B that C would happen	0.44585752487182617
stress	positive	NP V to NP that S	subject	want	past	A stressed to B that C happened	0.5037083029747009
prove	positive	NP V to NP that S[+future]	object	want	future	A proved to B that C would happen	0.46019867062568665
lie	positive	NP V to NP that S[+future]	object	want	future	A lied to B that C would happen	0.6721500754356384
scribble	negative	NP V to NP that S	object	want	past	A didn't scribble to B that C happened	0.43349289894104004
encourage	positive	NP be V that S	subject	believe	past	A was encouraged that C happened	0.8467485308647156
foresee	positive	NP V that S[+future]	subject	believe	future	A foresaw that C would happen	0.8865742087364197
whisper	negative	NP V that S[+future]	subject	want	future	A didn't whisper that C would happen	0.4198663830757141
applaud	positive	NP be V that S[-tense]	subject	want	future	A was applauded that C happen	0.8584914803504944
portray	negative	NP V to NP that S[+future]	subject	believe	future	A didn't portray to B that C would happen	0.4381709694862366
study	positive	NP V that S[+future]	subject	believe	future	A studied that C would happen	0.796700119972229
blog	negative	NP V to NP that S	object	want	past	A didn't blog to B that C happened	0.3895295262336731
quarrel	positive	NP V that S	subject	want	past	A quarrelled that C happened	0.27942606806755066
pray	negative	NP V to NP that S[+future]	object	want	future	A didn't pray to B that C would happen	0.4691259562969208
narrate	negative	NP V to NP that S[+future]	object	want	future	A didn't narrate to B that C would happen	0.4586871266365051
yearn	positive	NP V that S[+future]	subject	believe	future	A yearned that C would happen	0.7474181056022644
recommend	negative	NP V that S[+future]	subject	believe	future	A didn't recommend that C would happen	0.36236006021499634
grumble	positive	NP V to NP that S[+future]	subject	believe	future	A grumbled to B that C would happen	0.6946945190429688
worry	positive	NP V that S	subject	believe	past	A worried that C happened	0.6390774250030518
agree	negative	NP V to NP that S[+future]	object	believe	future	A didn't agree to B that C would happen	0.7481511831283569
theorize	negative	NP V that S[+future]	subject	believe	future	A didn't theorize that C would happen	0.11251426488161087
squeal	negative	NP V to NP that S[+future]	object	want	future	A didn't squeal to B that C would happen	0.4681243598461151
dismay	positive	NP be V that S[+future]	subject	want	future	A was dismayed that C would happen	0.08737713098526001
query	negative	NP V that S	subject	want	past	A didn't query that C happened	0.4269896149635315
engage	positive	NP be V that S[+future]	subject	want	future	A was engaged that C would happen	0.7009494304656982
log	negative	NP V that S[+future]	subject	believe	future	A didn't log that C would happen	0.39310723543167114
detest	positive	NP V that S[+future]	subject	believe	future	A detested that C would happen	0.7110657095909119
tease	positive	NP V that S	subject	want	past	A teased that C happened	0.6574684977531433
consult	negative	NP V that S[+future]	subject	believe	future	A didn't consult that C would happen	0.43526461720466614
reconstruct	positive	NP V that S	subject	believe	past	A reconstructed that C happened	0.8150994181632996
dissatisfy	positive	NP be V that S	subject	want	past	A was dissatisfied that C happened	0.03013763204216957
vex	negative	NP be V that S	subject	want	past	A wasn't vexed that C happened	0.6058559417724609
nauseate	negative	NP be V that S	subject	want	past	A wasn't nauseated that C happened	0.5681402683258057
believe	positive	NP V NP that S[+future]	subject	want	future	A believed B that C would happen	0.6013005375862122
deplore	negative	NP be V that S	subject	want	past	A wasn't deplored that C happened	0.601999819278717
argue	positive	NP V to NP that S	object	want	past	A argued to B that C happened	0.3847437798976898
lie	negative	NP V to NP that S	object	want	past	A didn't lie to B that C happened	0.5436109900474548
move	positive	NP be V that S	subject	want	past	A was moved that C happened	0.8626798987388611
deem	negative	NP V that S[+future]	subject	believe	future	A didn't deem that C would happen	0.20856931805610657
decline	negative	NP V that S	subject	want	past	A didn't decline that C happened	0.487446665763855
splutter	negative	NP V that S	subject	believe	past	A didn't splutter that C happened	0.5134848356246948
disregard	positive	NP V that S	subject	believe	past	A disregarded that C happened	0.4791398048400879
type	positive	NP V to NP that S	object	believe	past	A typed to B that C happened	0.6950041055679321
stammer	positive	NP V that S	subject	believe	past	A stammered that C happened	0.7429686188697815
glean	negative	NP V that S	subject	believe	past	A didn't glean that C happened	0.22767741978168488
delude	positive	NP be V that S[+future]	subject	believe	future	A was deluded that C would happen	0.7790049314498901
hope	positive	NP V to NP that S	subject	believe	past	A hoped to B that C happened	0.5709406733512878
disappoint	negative	NP be V that S	subject	believe	past	A wasn't disappointed that C happened	0.85341477394104
leak	positive	NP V to NP that S	object	believe	past	A leaked to B that C happened	0.8038464784622192
educate	negative	NP V NP that S[+future]	object	believe	future	A didn't educate B that C would happen	0.38582077622413635
bitch	positive	NP V to NP that S	object	want	past	A bitched to B that C happened	0.3767969310283661
joke	positive	NP V that S	subject	believe	past	A joked that C happened	0.48068103194236755
corroborate	positive	NP be V that S[+future]	subject	believe	future	A was corroborated that C would happen	0.799282968044281
reveal	positive	NP V to NP that S[+future]	object	want	future	A revealed to B that C would happen	0.5167070031166077
grouse	negative	NP be V that S	subject	believe	past	A wasn't groused that C happened	0.7483384013175964
request	positive	NP V that S[-tense]	subject	want	future	A requested that C happen	0.8914752006530762
file	positive	NP V that S[+future]	subject	want	future	A filed that C would happen	0.6326478719711304
stump	negative	NP be V that S[+future]	subject	want	future	A wasn't stumped that C would happen	0.49905288219451904
elaborate	negative	NP V to NP that S[+future]	object	want	future	A didn't elaborate to B that C would happen	0.4809466004371643
bet	positive	NP V that S[+future]	subject	want	future	A bet that C would happen	0.8938032388687134
recommend	negative	NP V that S[-tense]	subject	want	future	A didn't recommend that C happen	0.0674949586391449
snivel	negative	NP V that S	subject	want	past	A didn't snivel that C happened	0.6179461479187012
underscore	negative	NP V that S	subject	believe	past	A didn't underscore that C happened	0.4770488440990448
fax	positive	NP V NP that S	object	want	past	A faxed B that C happened	0.5504754781723022
faze	negative	NP be V that S	subject	want	past	A wasn't fazed that C happened	0.5697818398475647
reaffirm	positive	NP V to NP that S[+future]	object	want	future	A reaffirmed to B that C would happen	0.5910705327987671
elate	positive	NP be V that S[+future]	subject	believe	future	A was elated that C would happen	0.8591833114624023
shock	negative	NP be V that S[+future]	subject	believe	future	A wasn't shocked that C would happen	0.8163620233535767
gladden	negative	NP be V that S[+future]	subject	believe	future	A wasn't gladdened that C would happen	0.40238505601882935
press	negative	NP V that S[+future]	subject	believe	future	A didn't press that C would happen	0.5540450215339661
guarantee	positive	NP V to NP that S	object	believe	past	A guaranteed to B that C happened	0.8645505905151367
read	negative	NP V to NP that S[-tense]	object	believe	future	A didn't read to B that C happen	0.35512861609458923
pretend	negative	NP V that S[+future]	subject	believe	future	A didn't pretend that C would happen	0.3163762092590332
howl	positive	NP V that S	subject	want	past	A howled that C happened	0.19924968481063843
stew	negative	NP be V that S	subject	want	past	A wasn't stewed that C happened	0.6124623417854309
convey	positive	NP V to NP that S[+future]	subject	want	future	A conveyed to B that C would happen	0.6017253994941711
agree	positive	NP V to NP that S	subject	want	past	A agreed to B that C happened	0.6164988279342651
endorse	positive	NP V that S[+future]	subject	want	future	A endorsed that C would happen	0.8731218576431274
post	negative	NP V that S	subject	want	past	A didn't post that C happened	0.2783454656600952
remark	negative	NP V that S	subject	believe	past	A didn't remark that C happened	0.40513452887535095
panic	positive	NP be V that S	subject	want	past	A was panicked that C happened	0.052183762192726135
astonish	positive	NP be V that S[+future]	subject	believe	future	A was astonished that C would happen	0.1356475055217743
divulge	negative	NP V that S[+future]	subject	want	future	A didn't divulge that C would happen	0.41644373536109924
contrive	positive	NP be V that S[-tense]	subject	believe	future	A was contrived that C happen	0.5273916125297546
jeer	positive	NP V that S	subject	believe	past	A jeered that C happened	0.8267544507980347
show	positive	NP V NP that S[+future]	object	believe	future	A showed B that C would happen	0.8469623923301697
like	positive	NP V that S[+future]	subject	believe	future	A liked that C would happen	0.734882116317749
certify	negative	NP be V that S	subject	believe	past	A wasn't certified that C happened	0.3408116400241852
joke	positive	NP V to NP that S[+future]	subject	want	future	A joked to B that C would happen	0.5198732018470764
pinpoint	negative	NP V that S	subject	believe	past	A didn't pinpoint that C happened	0.39139726758003235
mutter	positive	NP V to NP that S[+future]	subject	want	future	A muttered to B that C would happen	0.24178919196128845
delight	positive	NP be V that S[+future]	subject	want	future	A was delighted that C would happen	0.9679995775222778
bet	positive	NP V to NP that S	object	want	past	A bet to B that C happened	0.38773098587989807
chronicle	negative	NP V that S	subject	believe	past	A didn't chronicle that C happened	0.3767518699169159
say	positive	NP V to NP that S	subject	want	past	A said to B that C happened	0.5783463716506958
boast	positive	NP V to NP that S[+future]	subject	believe	future	A boasted to B that C would happen	0.8972998857498169
negotiate	positive	NP V that S	subject	believe	past	A negotiated that C happened	0.7829621434211731
entreat	positive	NP be V that S	subject	want	past	A was entreated that C happened	0.6794691681861877
demoralize	negative	NP be V that S	subject	believe	past	A wasn't demoralized that C happened	0.7880710363388062
omit	positive	NP V that S[+future]	subject	want	future	A omitted that C would happen	0.31906676292419434
find	negative	NP V that S[+future]	subject	want	future	A didn't find that C would happen	0.3394031226634979
imply	negative	NP V to NP that S[+future]	subject	believe	future	A didn't imply to B that C would happen	0.374960720539093
foresee	negative	NP V that S[+future]	subject	believe	future	A didn't foresee that C would happen	0.1319366991519928
irk	positive	NP be V that S	subject	want	past	A was irked that C happened	0.04067697748541832
envision	positive	NP V that S	subject	want	past	A envisioned that C happened	0.7497761249542236
verify	positive	NP V that S	subject	want	past	A verified that C happened	0.7094210982322693
taunt	negative	NP V NP that S[+future]	subject	want	future	A didn't taunt B that C would happen	0.489458829164505
disgrace	positive	NP be V that S	subject	want	past	A was disgraced that C happened	0.03517384082078934
command	positive	NP be V that S	subject	want	past	A was commanded that C happened	0.4126352369785309
spot	negative	NP V that S[+future]	subject	believe	future	A didn't spot that C would happen	0.27814316749572754
bullshit	negative	NP V NP that S[+future]	subject	believe	future	A didn't bullshit B that C would happen	0.40718352794647217
inform	negative	NP V that S	subject	believe	past	A didn't inform that C happened	0.4109581708908081
relish	negative	NP V that S[+future]	subject	want	future	A didn't relish that C would happen	0.09193547815084457
repress	positive	NP V that S	subject	believe	past	A repressed that C happened	0.38679438829421997
brainstorm	positive	NP V that S[-tense]	subject	want	future	A brainstormed that C happen	0.7239181995391846
proclaim	positive	NP V to NP that S[+future]	object	believe	future	A proclaimed to B that C would happen	0.7630874514579773
deem	negative	NP V that S[-tense]	subject	believe	future	A didn't deem that C happen	0.13787591457366943
squeal	positive	NP V to NP that S[+future]	subject	believe	future	A squealed to B that C would happen	0.8705956935882568
utter	negative	NP V to NP that S[+future]	subject	believe	future	A didn't utter to B that C would happen	0.386773020029068
gamble	negative	NP V that S	subject	believe	past	A didn't gamble that C happened	0.23531626164913177
