listid	participant	verb	subject	consequent	valence	question	response
2	98	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.23
2	61	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.6
2	69	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.62
2	21	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.85
2	65	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.2
2	82	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.28
2	52	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.99
2	89	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.67
0	96	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.3
0	33	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.0
0	2	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.57
0	59	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.0
0	29	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.39
0	76	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.24
0	20	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.19
0	31	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.2
0	64	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.6
0	12	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.71
0	30	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.5
0	27	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.09
0	34	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.0
0	7	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.0
0	50	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.01
0	71	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	1.0
0	16	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.02
0	49	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.2
0	66	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.04
0	95	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.05
0	15	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.59
0	38	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.57
0	36	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.83
0	45	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.5
0	68	complain	dishwasher	believe	positive	What proportion of dishwashers generally believe that busboys will clean the dishes?	0.14
2	26	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	1.0
2	51	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.8
2	88	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.7
2	19	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.0
2	25	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.8
2	84	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.61
2	47	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.25
2	74	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.95
2	63	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.62
2	62	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.34
2	90	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.95
2	85	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	1.0
2	1	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.0
2	37	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.6
2	83	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.0
2	18	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.0
2	44	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	1.0
2	98	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.71
2	61	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.63
2	69	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.93
2	21	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.72
2	65	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.6
2	82	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.18
2	52	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.09
2	89	complain	dishwasher	want	positive	What proportion of dishwashers generally want busboys to clean the dishes?	0.65
0	96	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.6
0	33	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.1
0	2	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.4
0	59	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.51
0	29	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.73
0	76	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	20	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.42
0	31	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	64	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.51
0	12	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.32
0	30	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	27	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.85
0	34	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	7	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.55
0	50	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	71	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	16	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.45
0	49	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.65
0	66	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.5
0	95	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.75
0	15	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.59
0	38	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.59
0	36	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.6
0	45	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.61
0	68	disprove	lawyer	believe	negative	What proportion of juries generally believe that defendants have commited murders?	0.66
2	26	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	51	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	88	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.01
2	19	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	25	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.21
2	84	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.02
2	47	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.15
2	74	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.1
2	63	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	62	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	90	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	85	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	1	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	37	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.32
2	83	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	18	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	44	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.15
2	98	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.01
2	61	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.17
2	69	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.06
2	21	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	65	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	82	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.0
2	52	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.05
2	89	disprove	lawyer	want	negative	What proportion of juries generally want defendants to have commited murders?	0.41
0	96	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	33	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	2	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.42
0	59	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	29	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.14
0	76	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	20	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.02
0	31	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	64	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.03
0	12	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	30	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	27	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	34	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	7	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	50	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	71	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	16	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	49	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	66	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	95	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	15	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	38	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.0
0	36	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.04
0	45	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.07
0	68	complain	sailor	want	negative	What proportion of sailors generally want the decks to flood?	0.02
2	26	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.29
2	51	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.05
2	88	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.38
2	19	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.5
2	25	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.6
2	84	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.14
2	47	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.0
2	74	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.45
2	63	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.3
2	62	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.21
2	90	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.27
2	85	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.15
2	1	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.19
2	37	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.35
2	83	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.05
2	18	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.66
2	44	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.1
2	98	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.02
2	61	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.65
2	69	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.77
2	21	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.1
2	65	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.2
2	82	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.09
2	52	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.78
2	89	complain	sailor	believe	negative	What proportion of sailors generally believe that the decks will flood?	0.32
0	96	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.7
0	33	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.31
0	2	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.46
0	59	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.65
0	29	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.63
0	76	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.62
0	20	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.84
0	31	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.21
0	64	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.37
0	12	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.77
0	30	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.32
0	27	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.15
0	34	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.5
0	7	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.68
0	50	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	1.0
0	71	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.35
0	16	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.21
0	49	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.7
0	66	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.79
0	95	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.67
0	15	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.82
0	38	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.43
0	36	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.22
0	45	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.17
0	68	think	doctor	believe	negative	What proportion of doctors generally believe that their patients will get the flu?	0.33
2	26	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	51	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.1
2	88	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.9
2	19	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	25	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.14
2	84	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.01
2	47	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	74	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.05
2	63	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	62	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	90	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	85	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	1	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	37	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.01
2	83	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.33
2	18	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	44	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	98	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	61	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.03
2	69	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	21	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	65	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	82	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.0
2	52	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.38
2	89	think	doctor	want	negative	What proportion of doctors generally want their patients to get the flu?	0.05
0	96	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	33	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.94
0	2	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.9
0	59	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	29	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.97
0	76	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.71
0	20	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.98
0	31	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.86
0	64	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.5
0	12	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	30	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	27	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	34	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	7	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	50	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.99
0	71	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	16	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	49	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	66	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.97
0	95	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.96
0	15	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.99
0	38	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	36	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	0.85
0	45	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
0	68	boast	dancer	want	positive	What proportion of dancers generally want their shows to sell out?	1.0
2	26	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.13
2	51	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.5
2	88	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.78
2	19	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.52
2	25	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.66
2	84	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.45
2	47	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.45
2	74	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.5
2	63	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.9
2	62	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.47
2	90	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.68
2	85	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.7
2	1	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.19
2	37	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.37
2	83	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.64
2	18	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.5
2	44	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.75
2	98	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.84
2	61	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.59
2	69	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.38
2	21	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.67
2	65	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.7
2	82	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.9
2	52	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.68
2	89	boast	dancer	believe	positive	What proportion of dancers generally believe that their shows will sell out?	0.61
0	96	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	33	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	2	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.62
0	59	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	29	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.79
0	76	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.71
0	20	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.97
0	31	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	64	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.67
0	12	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	30	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	27	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.85
0	34	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.92
0	7	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	50	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.99
0	71	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	16	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.99
0	49	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	1.0
0	66	dissuade	bouncer	believe	positive	What proportion of partygoers generally believe that parties will start?	0.97
