participant	list	presentationorder	verb	frame	response	nativeenglish	sentence
21	1	34	say	NP was Ved whichNP to VP	2	True	Someone was said which thing to do.
21	1	35	say	NP Ved whichNP S	5	True	Someone said which thing happened.
21	1	36	say	NP Ved to NP that S	6	True	Someone said to someone that something happened.
21	1	37	say	NP Ved whether S	5	True	Someone said whether something happened.
21	1	38	say	NP Ved that S	6	True	Someone said that something happened.
21	1	39	say	NP Ved to NP that S[-tense]	3	True	Someone said to someone that something happen.
21	1	40	say	NP Ved NP to NP	2	True	Someone said something to someone.
21	1	41	say	NP Ved whichNP to VP	5	True	Someone said which thing to do.
21	1	42	say	NP was Ved about whether S	2	True	Someone was said about whether something happened.
21	1	43	say	NP Ved to NP whether S	6	True	Someone said to someone whether something happened.
21	1	44	say	NP was Ved whether to VP	2	True	Someone was said whether to do something.
21	1	45	say	NP Ved S	6	True	Someone said something happened.
21	1	46	say	NP Ved to NP whether S[+future]	2	True	Someone said to someone whether something happen.
21	1	47	say	NP was Ved that S[-tense]	2	True	Someone was said that something happen.
21	1	48	say	NP was Ved to VP[+eventive]	5	True	Someone was said to do something.
21	1	49	say	NP Ved about NP	2	True	Someone said about something.
21	1	50	say	NP Ved whether S[+future]	2	True	Someone said whether something would happen.
23	1	1	say	NP Ved NP	7	True	Someone said something.
23	1	2	say	NP was Ved	1	True	Someone was said.
23	1	3	say	NP Ved	7	True	Someone said.
23	1	4	say	NP Ved NP whichNP S	1	True	Someone said someone which thing happened.
23	1	5	say	NP Ved so	7	True	Someone said so.
23	1	6	say	NP was Ved whichNP S	1	True	Someone was said which thing happened.
23	1	7	say	NP Ved that S[-tense]	7	True	Someone said that something happen.
23	1	8	say	NP was Ved S	1	True	Someone was said something happened.
23	1	9	say	S, I V	7	True	Something happened, I say.
23	1	10	say	NP Ved NP that S[-tense]	1	True	Someone said someone that something happen.
23	1	11	say	NP Ved NP VP	5	True	Someone said someone do something.
23	1	12	say	NP Ved NP whether S	1	True	Someone said someone whether something happened.
23	1	13	say	NP was Ved so	1	True	Someone was said so.
23	1	14	say	NP was Ved about NP	1	True	Someone was said about something.
23	1	15	say	NP Ved NP VPing	3	True	Someone said someone doing something.
23	1	16	say	NP Ved that S[+future]	7	True	Someone said that something would happen.
23	1	17	say	NP Ved to VP[-eventive]	1	True	Someone said to have something.
23	1	18	say	NP was Ved that S	1	True	Someone was said that something happened.
23	1	19	say	NP Ved NP to VP[-eventive]	1	True	Someone said someone to have something.
23	1	20	say	NP Ved NP that S	1	True	Someone said someone that something happened.
23	1	21	say	NP was Ved to VP[-eventive]	7	True	Someone was said to have something.
23	1	22	say	NP was Ved whether S[+future]	1	True	Someone was said whether something would happen.
23	1	23	say	NP Ved VPing	2	True	Someone said doing something.
23	1	24	say	NP was Ved whether S	1	True	Someone was said whether something happened.
23	1	25	say	NP Ved NP to VP[+eventive]	1	True	Someone said someone to do something.
23	1	26	say	NP Ved NP whether S[+future]	1	True	Someone said someone whether something would happen.
23	1	27	say	NP Ved about whether S	1	True	Someone said about whether something happened.
23	1	28	say	NP Ved to NP that S[+future]	7	True	Someone said to someone that something would happen.
23	1	29	say	NP Ved to VP[+eventive]	7	True	Someone said to do something.
23	1	30	say	NP Ved NP that S[+future]	2	True	Someone said someone that something would happen.
23	1	31	say	NP Ved whether to VP	7	True	Someone said whether to do something.
23	1	32	say	NP was Ved that S[+future]	1	True	Someone was said that something would happen.
23	1	33	say	NP Ved for NP to VP	2	True	Someone said for something to happen.
23	1	34	say	NP was Ved whichNP to VP	1	True	Someone was said which thing to do.
23	1	35	say	NP Ved whichNP S	4	True	Someone said which thing happened.
23	1	36	say	NP Ved to NP that S	7	True	Someone said to someone that something happened.
23	1	37	say	NP Ved whether S	7	True	Someone said whether something happened.
23	1	38	say	NP Ved that S	7	True	Someone said that something happened.
23	1	39	say	NP Ved to NP that S[-tense]	7	True	Someone said to someone that something happen.
23	1	40	say	NP Ved NP to NP	7	True	Someone said something to someone.
23	1	41	say	NP Ved whichNP to VP	5	True	Someone said which thing to do.
23	1	42	say	NP was Ved about whether S	1	True	Someone was said about whether something happened.
23	1	43	say	NP Ved to NP whether S	5	True	Someone said to someone whether something happened.
23	1	44	say	NP was Ved whether to VP	1	True	Someone was said whether to do something.
23	1	45	say	NP Ved S	7	True	Someone said something happened.
23	1	46	say	NP Ved to NP whether S[+future]	5	True	Someone said to someone whether something happen.
23	1	47	say	NP was Ved that S[-tense]	1	True	Someone was said that something happen.
23	1	48	say	NP was Ved to VP[+eventive]	5	True	Someone was said to do something.
23	1	49	say	NP Ved about NP	2	True	Someone said about something.
23	1	50	say	NP Ved whether S[+future]	7	True	Someone said whether something would happen.
5	1	1	say	NP Ved NP	7	True	Someone said something.
5	1	2	say	NP was Ved	1	True	Someone was said.
5	1	3	say	NP Ved	5	True	Someone said.
5	1	4	say	NP Ved NP whichNP S	3	True	Someone said someone which thing happened.
5	1	5	say	NP Ved so	7	True	Someone said so.
5	1	6	say	NP was Ved whichNP S	2	True	Someone was said which thing happened.
5	1	7	say	NP Ved that S[-tense]	5	True	Someone said that something happen.
5	1	8	say	NP was Ved S	1	True	Someone was said something happened.
5	1	9	say	S, I V	5	True	Something happened, I say.
5	1	10	say	NP Ved NP that S[-tense]	1	True	Someone said someone that something happen.
5	1	11	say	NP Ved NP VP	3	True	Someone said someone do something.
5	1	12	say	NP Ved NP whether S	1	True	Someone said someone whether something happened.
5	1	13	say	NP was Ved so	4	True	Someone was said so.
5	1	14	say	NP was Ved about NP	4	True	Someone was said about something.
5	1	15	say	NP Ved NP VPing	4	True	Someone said someone doing something.
5	1	16	say	NP Ved that S[+future]	7	True	Someone said that something would happen.
5	1	17	say	NP Ved to VP[-eventive]	5	True	Someone said to have something.
5	1	18	say	NP was Ved that S	4	True	Someone was said that something happened.
5	1	19	say	NP Ved NP to VP[-eventive]	4	True	Someone said someone to have something.
5	1	20	say	NP Ved NP that S	2	True	Someone said someone that something happened.
5	1	21	say	NP was Ved to VP[-eventive]	7	True	Someone was said to have something.
5	1	22	say	NP was Ved whether S[+future]	3	True	Someone was said whether something would happen.
5	1	23	say	NP Ved VPing	2	True	Someone said doing something.
5	1	24	say	NP was Ved whether S	1	True	Someone was said whether something happened.
5	1	25	say	NP Ved NP to VP[+eventive]	3	True	Someone said someone to do something.
5	1	26	say	NP Ved NP whether S[+future]	1	True	Someone said someone whether something would happen.
5	1	27	say	NP Ved about whether S	5	True	Someone said about whether something happened.
5	1	28	say	NP Ved to NP that S[+future]	6	True	Someone said to someone that something would happen.
5	1	29	say	NP Ved to VP[+eventive]	6	True	Someone said to do something.
5	1	30	say	NP Ved NP that S[+future]	2	True	Someone said someone that something would happen.
5	1	31	say	NP Ved whether to VP	4	True	Someone said whether to do something.
5	1	32	say	NP was Ved that S[+future]	3	True	Someone was said that something would happen.
5	1	33	say	NP Ved for NP to VP	7	True	Someone said for something to happen.
5	1	34	say	NP was Ved whichNP to VP	1	True	Someone was said which thing to do.
5	1	35	say	NP Ved whichNP S	6	True	Someone said which thing happened.
5	1	36	say	NP Ved to NP that S	5	True	Someone said to someone that something happened.
5	1	37	say	NP Ved whether S	7	True	Someone said whether something happened.
5	1	38	say	NP Ved that S	7	True	Someone said that something happened.
5	1	39	say	NP Ved to NP that S[-tense]	5	True	Someone said to someone that something happen.
5	1	40	say	NP Ved NP to NP	7	True	Someone said something to someone.
5	1	41	say	NP Ved whichNP to VP	3	True	Someone said which thing to do.
5	1	42	say	NP was Ved about whether S	3	True	Someone was said about whether something happened.
5	1	43	say	NP Ved to NP whether S	6	True	Someone said to someone whether something happened.
5	1	44	say	NP was Ved whether to VP	1	True	Someone was said whether to do something.
5	1	45	say	NP Ved S	7	True	Someone said something happened.
5	1	46	say	NP Ved to NP whether S[+future]	5	True	Someone said to someone whether something happen.
5	1	47	say	NP was Ved that S[-tense]	1	True	Someone was said that something happen.
5	1	48	say	NP was Ved to VP[+eventive]	7	True	Someone was said to do something.
5	1	49	say	NP Ved about NP	4	True	Someone said about something.
5	1	50	say	NP Ved whether S[+future]	7	True	Someone said whether something would happen.
6	1	1	say	NP Ved NP	7	True	Someone said something.
6	1	2	say	NP was Ved	1	True	Someone was said.
6	1	3	say	NP Ved	7	True	Someone said.
6	1	4	say	NP Ved NP whichNP S	1	True	Someone said someone which thing happened.
6	1	5	say	NP Ved so	7	True	Someone said so.
6	1	6	say	NP was Ved whichNP S	1	True	Someone was said which thing happened.
6	1	7	say	NP Ved that S[-tense]	5	True	Someone said that something happen.
6	1	8	say	NP was Ved S	1	True	Someone was said something happened.
6	1	9	say	S, I V	6	True	Something happened, I say.
6	1	10	say	NP Ved NP that S[-tense]	1	True	Someone said someone that something happen.
6	1	11	say	NP Ved NP VP	6	True	Someone said someone do something.
6	1	12	say	NP Ved NP whether S	1	True	Someone said someone whether something happened.
6	1	13	say	NP was Ved so	1	True	Someone was said so.
6	1	14	say	NP was Ved about NP	1	True	Someone was said about something.
6	1	15	say	NP Ved NP VPing	1	True	Someone said someone doing something.
6	1	16	say	NP Ved that S[+future]	7	True	Someone said that something would happen.
6	1	17	say	NP Ved to VP[-eventive]	2	True	Someone said to have something.
6	1	18	say	NP was Ved that S	1	True	Someone was said that something happened.
6	1	19	say	NP Ved NP to VP[-eventive]	1	True	Someone said someone to have something.
6	1	20	say	NP Ved NP that S	1	True	Someone said someone that something happened.
6	1	21	say	NP was Ved to VP[-eventive]	7	True	Someone was said to have something.
6	1	22	say	NP was Ved whether S[+future]	3	True	Someone was said whether something would happen.
6	1	23	say	NP Ved VPing	1	True	Someone said doing something.
6	1	24	say	NP was Ved whether S	1	True	Someone was said whether something happened.
6	1	25	say	NP Ved NP to VP[+eventive]	4	True	Someone said someone to do something.
6	1	26	say	NP Ved NP whether S[+future]	1	True	Someone said someone whether something would happen.
6	1	27	say	NP Ved about whether S	7	True	Someone said about whether something happened.
6	1	28	say	NP Ved to NP that S[+future]	7	True	Someone said to someone that something would happen.
6	1	29	say	NP Ved to VP[+eventive]	7	True	Someone said to do something.
6	1	30	say	NP Ved NP that S[+future]	1	True	Someone said someone that something would happen.
6	1	31	say	NP Ved whether to VP	7	True	Someone said whether to do something.
6	1	32	say	NP was Ved that S[+future]	1	True	Someone was said that something would happen.
6	1	33	say	NP Ved for NP to VP	6	True	Someone said for something to happen.
6	1	34	say	NP was Ved whichNP to VP	1	True	Someone was said which thing to do.
6	1	35	say	NP Ved whichNP S	7	True	Someone said which thing happened.
6	1	36	say	NP Ved to NP that S	7	True	Someone said to someone that something happened.
6	1	37	say	NP Ved whether S	7	True	Someone said whether something happened.
6	1	38	say	NP Ved that S	7	True	Someone said that something happened.
6	1	39	say	NP Ved to NP that S[-tense]	5	True	Someone said to someone that something happen.
6	1	40	say	NP Ved NP to NP	7	True	Someone said something to someone.
6	1	41	say	NP Ved whichNP to VP	7	True	Someone said which thing to do.
6	1	42	say	NP was Ved about whether S	1	True	Someone was said about whether something happened.
6	1	43	say	NP Ved to NP whether S	7	True	Someone said to someone whether something happened.
6	1	44	say	NP was Ved whether to VP	5	True	Someone was said whether to do something.
6	1	45	say	NP Ved S	7	True	Someone said something happened.
6	1	46	say	NP Ved to NP whether S[+future]	2	True	Someone said to someone whether something happen.
6	1	47	say	NP was Ved that S[-tense]	1	True	Someone was said that something happen.
6	1	48	say	NP was Ved to VP[+eventive]	7	True	Someone was said to do something.
6	1	49	say	NP Ved about NP	5	True	Someone said about something.
6	1	50	say	NP Ved whether S[+future]	7	True	Someone said whether something would happen.
1	2	1	see	NP Ved NP	7	True	Someone saw something.
1	2	2	see	NP was Ved	7	True	Someone was seen.
1	2	3	see	NP Ved	7	True	Someone saw.
1	2	4	see	NP Ved NP whichNP S	1	True	Someone saw someone which thing happened.
1	2	5	see	NP Ved so	5	True	Someone saw so.
1	2	6	see	NP was Ved whichNP S	3	True	Someone was seen which thing happened.
1	2	7	see	NP Ved that S[-tense]	6	True	Someone saw that something happen.
1	2	8	see	NP was Ved S	1	True	Someone was seen something happened.
1	2	9	see	S, I V	7	True	Something happened, I see.
1	2	10	see	NP Ved NP that S[-tense]	1	True	Someone saw someone that something happen.
1	2	11	see	NP Ved NP VP	7	True	Someone saw someone do something.
1	2	12	see	NP Ved NP whether S	1	True	Someone saw someone whether something happened.
1	2	13	see	NP was Ved so	6	True	Someone was seen so.
1	2	14	see	NP was Ved about NP	7	True	Someone was seen about something.
1	2	15	see	NP Ved NP VPing	7	True	Someone saw someone doing something.
1	2	16	see	NP Ved that S[+future]	7	True	Someone saw that something would happen.
1	2	17	see	NP Ved to VP[-eventive]	6	True	Someone saw to have something.
1	2	18	see	NP was Ved that S	2	True	Someone was seen that something happened.
1	2	19	see	NP Ved NP to VP[-eventive]	1	True	Someone saw someone to have something.
1	2	20	see	NP Ved NP that S	1	True	Someone saw someone that something happened.
1	2	21	see	NP was Ved to VP[-eventive]	6	True	Someone was seen to have something.
1	2	22	see	NP was Ved whether S[+future]	1	True	Someone was seen whether something would happen.
1	2	23	see	NP Ved VPing	5	True	Someone saw doing something.
1	2	24	see	NP was Ved whether S	1	True	Someone was seen whether something happened.
1	2	25	see	NP Ved NP to VP[+eventive]	2	True	Someone saw someone to do something.
1	2	26	see	NP Ved NP whether S[+future]	1	True	Someone saw someone whether something would happen.
1	2	27	see	NP Ved about whether S	6	True	Someone saw about whether something happened.
1	2	28	see	NP Ved to NP that S[+future]	1	True	Someone saw to someone that something would happen.
1	2	29	see	NP Ved to VP[+eventive]	6	True	Someone saw to do something.
1	2	30	see	NP Ved NP that S[+future]	1	True	Someone saw someone that something would happen.
1	2	31	see	NP Ved whether to VP	6	True	Someone saw whether to do something.
1	2	32	see	NP was Ved that S[+future]	2	True	Someone was seen that something would happen.
1	2	33	see	NP Ved for NP to VP	6	True	Someone saw for something to happen.
1	2	34	see	NP was Ved whichNP to VP	1	True	Someone was seen which thing to do.
1	2	35	see	NP Ved whichNP S	7	True	Someone saw which thing happened.
1	2	36	see	NP Ved to NP that S	1	True	Someone saw to someone that something happened.
1	2	37	see	NP Ved whether S	7	True	Someone saw whether something happened.
1	2	38	see	NP Ved that S	7	True	Someone saw that something happened.
1	2	39	see	NP Ved to NP that S[-tense]	1	True	Someone saw to someone that something happen.
1	2	40	see	NP Ved NP to NP	1	True	Someone saw something to someone.
1	2	41	see	NP Ved whichNP to VP	7	True	Someone saw which thing to do.
1	2	42	see	NP was Ved about whether S	3	True	Someone was seen about whether something happened.
1	2	43	see	NP Ved to NP whether S	1	True	Someone saw to someone whether something happened.
1	2	44	see	NP was Ved whether to VP	2	True	Someone was seen whether to do something.
1	2	45	see	NP Ved S	6	True	Someone saw something happened.
1	2	46	see	NP Ved to NP whether S[+future]	1	True	Someone saw to someone whether something happen.
1	2	47	see	NP was Ved that S[-tense]	1	True	Someone was seen that something happen.
1	2	48	see	NP was Ved to VP[+eventive]	6	True	Someone was seen to do something.
1	2	49	see	NP Ved about NP	7	True	Someone saw about something.
1	2	50	see	NP Ved whether S[+future]	7	True	Someone saw whether something would happen.
20	2	1	see	NP Ved NP	7	True	Someone saw something.
20	2	2	see	NP was Ved	7	True	Someone was seen.
20	2	3	see	NP Ved	7	True	Someone saw.
20	2	4	see	NP Ved NP whichNP S	1	True	Someone saw someone which thing happened.
20	2	5	see	NP Ved so	1	True	Someone saw so.
20	2	6	see	NP was Ved whichNP S	1	True	Someone was seen which thing happened.
20	2	7	see	NP Ved that S[-tense]	1	True	Someone saw that something happen.
20	2	8	see	NP was Ved S	1	True	Someone was seen something happened.
20	2	9	see	S, I V	7	True	Something happened, I see.
20	2	10	see	NP Ved NP that S[-tense]	1	True	Someone saw someone that something happen.
20	2	11	see	NP Ved NP VP	7	True	Someone saw someone do something.
20	2	12	see	NP Ved NP whether S	1	True	Someone saw someone whether something happened.
20	2	13	see	NP was Ved so	1	True	Someone was seen so.
20	2	14	see	NP was Ved about NP	4	True	Someone was seen about something.
20	2	15	see	NP Ved NP VPing	7	True	Someone saw someone doing something.
20	2	16	see	NP Ved that S[+future]	5	True	Someone saw that something would happen.
20	2	17	see	NP Ved to VP[-eventive]	1	True	Someone saw to have something.
20	2	18	see	NP was Ved that S	1	True	Someone was seen that something happened.
20	2	19	see	NP Ved NP to VP[-eventive]	1	True	Someone saw someone to have something.
20	2	20	see	NP Ved NP that S	1	True	Someone saw someone that something happened.
20	2	21	see	NP was Ved to VP[-eventive]	7	True	Someone was seen to have something.
20	2	22	see	NP was Ved whether S[+future]	1	True	Someone was seen whether something would happen.
20	2	23	see	NP Ved VPing	1	True	Someone saw doing something.
20	2	24	see	NP was Ved whether S	1	True	Someone was seen whether something happened.
20	2	25	see	NP Ved NP to VP[+eventive]	3	True	Someone saw someone to do something.
20	2	26	see	NP Ved NP whether S[+future]	1	True	Someone saw someone whether something would happen.
20	2	27	see	NP Ved about whether S	1	True	Someone saw about whether something happened.
20	2	28	see	NP Ved to NP that S[+future]	1	True	Someone saw to someone that something would happen.
20	2	29	see	NP Ved to VP[+eventive]	1	True	Someone saw to do something.
20	2	30	see	NP Ved NP that S[+future]	1	True	Someone saw someone that something would happen.
20	2	31	see	NP Ved whether to VP	5	True	Someone saw whether to do something.
20	2	32	see	NP was Ved that S[+future]	1	True	Someone was seen that something would happen.
20	2	33	see	NP Ved for NP to VP	1	True	Someone saw for something to happen.
20	2	34	see	NP was Ved whichNP to VP	1	True	Someone was seen which thing to do.
20	2	35	see	NP Ved whichNP S	7	True	Someone saw which thing happened.
20	2	36	see	NP Ved to NP that S	1	True	Someone saw to someone that something happened.
20	2	37	see	NP Ved whether S	7	True	Someone saw whether something happened.
20	2	38	see	NP Ved that S	7	True	Someone saw that something happened.
20	2	39	see	NP Ved to NP that S[-tense]	1	True	Someone saw to someone that something happen.
20	2	40	see	NP Ved NP to NP	1	True	Someone saw something to someone.
20	2	41	see	NP Ved whichNP to VP	6	True	Someone saw which thing to do.
20	2	42	see	NP was Ved about whether S	5	True	Someone was seen about whether something happened.
20	2	43	see	NP Ved to NP whether S	1	True	Someone saw to someone whether something happened.
20	2	44	see	NP was Ved whether to VP	1	True	Someone was seen whether to do something.
20	2	45	see	NP Ved S	3	True	Someone saw something happened.
20	2	46	see	NP Ved to NP whether S[+future]	1	True	Someone saw to someone whether something happen.
20	2	47	see	NP was Ved that S[-tense]	1	True	Someone was seen that something happen.
20	2	48	see	NP was Ved to VP[+eventive]	3	True	Someone was seen to do something.
20	2	49	see	NP Ved about NP	1	True	Someone saw about something.
20	2	50	see	NP Ved whether S[+future]	5	True	Someone saw whether something would happen.
6	2	1	see	NP Ved NP	7	True	Someone saw something.
6	2	2	see	NP was Ved	7	True	Someone was seen.
6	2	3	see	NP Ved	7	True	Someone saw.
6	2	4	see	NP Ved NP whichNP S	1	True	Someone saw someone which thing happened.
6	2	5	see	NP Ved so	1	True	Someone saw so.
6	2	6	see	NP was Ved whichNP S	1	True	Someone was seen which thing happened.
6	2	7	see	NP Ved that S[-tense]	4	True	Someone saw that something happen.
6	2	8	see	NP was Ved S	1	True	Someone was seen something happened.
6	2	9	see	S, I V	6	True	Something happened, I see.
6	2	10	see	NP Ved NP that S[-tense]	1	True	Someone saw someone that something happen.
6	2	11	see	NP Ved NP VP	7	True	Someone saw someone do something.
6	2	12	see	NP Ved NP whether S	1	True	Someone saw someone whether something happened.
6	2	13	see	NP was Ved so	1	True	Someone was seen so.
6	2	14	see	NP was Ved about NP	7	True	Someone was seen about something.
6	2	15	see	NP Ved NP VPing	7	True	Someone saw someone doing something.
6	2	16	see	NP Ved that S[+future]	5	True	Someone saw that something would happen.
6	2	17	see	NP Ved to VP[-eventive]	6	True	Someone saw to have something.
6	2	18	see	NP was Ved that S	1	True	Someone was seen that something happened.
6	2	19	see	NP Ved NP to VP[-eventive]	1	True	Someone saw someone to have something.
6	2	20	see	NP Ved NP that S	1	True	Someone saw someone that something happened.
6	2	21	see	NP was Ved to VP[-eventive]	7	True	Someone was seen to have something.
6	2	22	see	NP was Ved whether S[+future]	1	True	Someone was seen whether something would happen.
6	2	23	see	NP Ved VPing	1	True	Someone saw doing something.
6	2	24	see	NP was Ved whether S	1	True	Someone was seen whether something happened.
6	2	25	see	NP Ved NP to VP[+eventive]	7	True	Someone saw someone to do something.
6	2	26	see	NP Ved NP whether S[+future]	1	True	Someone saw someone whether something would happen.
6	2	27	see	NP Ved about whether S	4	True	Someone saw about whether something happened.
6	2	28	see	NP Ved to NP that S[+future]	1	True	Someone saw to someone that something would happen.
6	2	29	see	NP Ved to VP[+eventive]	1	True	Someone saw to do something.
6	2	30	see	NP Ved NP that S[+future]	1	True	Someone saw someone that something would happen.
6	2	31	see	NP Ved whether to VP	4	True	Someone saw whether to do something.
6	2	32	see	NP was Ved that S[+future]	1	True	Someone was seen that something would happen.
6	2	33	see	NP Ved for NP to VP	1	True	Someone saw for something to happen.
6	2	34	see	NP was Ved whichNP to VP	1	True	Someone was seen which thing to do.
6	2	35	see	NP Ved whichNP S	7	True	Someone saw which thing happened.
6	2	36	see	NP Ved to NP that S	1	True	Someone saw to someone that something happened.
6	2	37	see	NP Ved whether S	7	True	Someone saw whether something happened.
6	2	38	see	NP Ved that S	7	True	Someone saw that something happened.
6	2	39	see	NP Ved to NP that S[-tense]	2	True	Someone saw to someone that something happen.
6	2	40	see	NP Ved NP to NP	1	True	Someone saw something to someone.
6	2	41	see	NP Ved whichNP to VP	7	True	Someone saw which thing to do.
6	2	42	see	NP was Ved about whether S	1	True	Someone was seen about whether something happened.
6	2	43	see	NP Ved to NP whether S	1	True	Someone saw to someone whether something happened.
6	2	44	see	NP was Ved whether to VP	5	True	Someone was seen whether to do something.
6	2	45	see	NP Ved S	7	True	Someone saw something happened.
6	2	46	see	NP Ved to NP whether S[+future]	1	True	Someone saw to someone whether something happen.
6	2	47	see	NP was Ved that S[-tense]	1	True	Someone was seen that something happen.
6	2	48	see	NP was Ved to VP[+eventive]	6	True	Someone was seen to do something.
6	2	49	see	NP Ved about NP	5	True	Someone saw about something.
6	2	50	see	NP Ved whether S[+future]	6	True	Someone saw whether something would happen.
